title,text,image_url,image_file
معرفی جاذبه های تاریخی تهران,از آنجایی که تهران از دوره قاجار به بعد پایتخت تهران بوده است، کاخ‌ها، موزه‌ها و بناهای تاریخی زیادی در آن وجود دارد. در ادامه جاذبه‌های تاریخی این شهر زیبا را به شما معرفی خواهیم کرد.,,
کاخ گلستان | از معروف ترین جاهای دیدنی تاریخی تهران,"کاخ گلستان یکی از آثار تاریخ مهم و زیباترین کاخ های تهران به شمار می‌آید. این کاخ قدمتی ۴۰۰ ساله دارد و شاهان بسیاری مانند ناصرالدین‌ شاه، احمد شاه، آقا محمد‌خان و مظفرالدین شاه در آن سکونت داشته‌اند. از این رو یکی از جاهای دیدنی تهران برای توریست ها به شمار می‌آید. کاخ گلستان در حال حاضر وسعتی ۴٫۵ هکتاری دارد. گفته شده که مساحت کنونی کاخ، تنها یک دهم وسعت قبلی آن است!
کاخ گلستان معماری منحصر به فردی دارد، چرا که با معماری نئوکلاسیک اروپایی تلفیق شده است. دلیل این امر را رفت و آمد ناصرالدین شاه به کشورهای اروپایی می‌دانند. کاخ گلستان بخش‌های مختلفی مانند ایوان تخت مرمر، تالار آینه، عمارت بادگیر، کاخ شمس العماره و کاخ ابیض دارد.
کاشی‌کاری‌های این کاخ در نوع خود منحصر به فرد هستند. هنر به کار برده شده در این کاشی‌ها تلفیقی از هنر غرب (سایه روشن، طبیعت‌گرایی و حجم نمایی) و هنر سنتی ایرانی (تصویرسازی) است. دسترسی به این بنای تاریخی نیز از طریق متروی تهران به سادگی امکان‌پذیر است؛ ایستگاه ۱۵ خرداد، نزدیک‌ترین ایستگاه مترو تهران به کاخ گلستان محسوب می‌شود.
ساعت بازدید از کاخ گلستان: ۹ صبح تا ۶ عصر
آدرس کاخ گلستان: تهران، منطقه ۱۲، خیابان پانزده خرداد، شمال میدان ارگ
آدرس کاخ گلستان روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2023/10/%DA%A9%D8%A7%D8%AE-%DA%AF%D9%84%D8%B3%D8%AA%D8%A7%D9%86-1.jpg,images/image_2.jpg
موزه ملی ایران | از مهمترین دیدنی های تهران,"اگر دوست دارید گذر تاریخ را از دوران پارینه سنگی تا دوران پس از اسلام ببینید، موزه ملی ایران انتخاب مناسبی خواهد بود. موزه ملی ایران یا همان موزه ایران باستان از قدمت بالایی برخوردار است. این مکان یکی از بزرگ‌ترین و مهم‌ترین موزه‌ های ایران و از با ارزش‌ترین جاهای دیدنی تهران به شمار می‌‌آید. موزه ملی ایران در سال ۱۳۱۲ توسط معماری فرانسوی به نام آندره گدار طراحی و ساخته شد.
این موزه‌ تاریخی، ۱۸ هزار متر مربع مساحت دارد. گفته شده که بیش از ۳۰۰ هزار اثر تاریخی در این مکان نگهداری می‌شود. در طراحی موزه ملی ایران، از طاق ساسانی تیسفون و طاق معروف کسری الهام گرفته است. البته رنگ و بوی معماری ایرانی را می‌توانید در سطوح داخلی ایوان‌ها ببینید.
جالب است بدانید بسیاری از هتل های تهران در اطراف این موزه قرار گرفته‌اند. شما هر کدام از این موارد را که انتخاب کنید علاوه بر اینکه به موزه ملی نزدیک هستید، فاصله کمی تا بسیاری از جاذبه‌های دیگر تهران نیز خواهید داشت.
اگر قصد دارید با مترو خود را به این موزه برسانید باید در یکی از ایستگاه‌های حسن آباد و یا امام خمینی پیاده شده و پس از اندکی پیاده‌روی خود را به این جاذبه برسانید.
ساعت بازدید از موزه ملی ایران: ۹ صبح تا ۴ عصر
آدرس موزه ملی ایران: تهران، خیابان امام خمینی، ابتدای خیابان سی‌تیر
آدرس موزه ملی ایران روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2023/10/%D9%85%D9%88%D8%B2%D9%87-%D9%85%D9%84%DB%8C.jpg,images/image_3.jpg
آرامستان ظهیرالدوله | از بهترین جاهای تهران,"آرامستان ظهیرالدوله در خوش آب و هوا‌ترین نقطه‌ پایتخت یعنی دربند تهران قرار دارد و به عنوان یکی از جاهای دیدنی تهران شناخته می‌شود. آرامستان ظهیرالدوله تلفیقی از درختان درهم تنیده و مزارهای پر از داستان است. دلیل معرفی این آرامستان به عنوان یکی از جاهای دیدنی تهران قرارگیری آرامگاه بسیاری از مشاهیر سیاسی، هنری و فرهنگ ایران در آن است.
سنگ قبرهای این گورستان شکل و شمایلی متفاوت با دیگر قبرستان‌ها دارد، به طوریکه هر سنگ قبر به خوبی نمایانگر حرفه و جایگاه فرد مدفون شده است. به طور مثال سنگ مقبره‌ حسین صبا از دو کتاب و تصویر آلات موسیقی تشکیل شده است. در اطراف تمامی مقبره‌ها، بوته‌ها و درختان سرسبزی روییده که حال و هوای دل‌انگیزی را رقم زده‌اند.
در آرامستان ظهیرالدوله می‌توانید مقبره‌ مشاهیری مانند فروغ فرخزاد، ایرج میرزا، حسین صبا، ملک الشعرای بهار، رهی معیری، حسین یاحقی و داریوش رفیعی را بیابید. برای دسترسی به آرامستان ظهیرالدوله می‌توانید از طریق مترو تجریش و پس از آن استفاده از تاکسی خود را به آن‌جا برسانید.
ساعت بازدید برای خانم‌ها: ۱۰ تا ۱۲ ظهر
ساعت بازدید برای آقایان: ۱۳ تا ۱۵
آدرس آرامستان ظهیرالدوله: تهران، میدان قدس، خیابان دربند، خیابان ظهیرالدوله
آدرس دقیق آرامستان ظهیرالدوله روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2023/10/%D8%B8%D9%87%DB%8C%D8%B1%D8%A7%D9%84%D8%AF%D9%88%D9%84%D9%87.jpg,images/image_4.jpg
کاخ سعدآباد | از جاهای تفریحی تهران,"یکی از زیباترین بناهای تاریخی تهران کاخ سعدآباد است. مجموعه سعدآباد به عنوان یکی از محبوب ترین مناطق گردشگری تهران هرساله گردشگران بسیاری را به خود جذب می‌کند. کاخ‌ سعدآباد در فضایی به وسعت ۸۰۰۰ متر مربع احداث شد. اگر بازدید از کاخ سعدآباد را برای اوقات فراغت خود انتخاب می‌کنید، باید بدانید که این بنا بازمانده‌ اواخر دوران قاجار و حکومت پهلوی است و به عنوان یکی از اصلی‌ترین جاهای دیدنی تهران می‌توان آن را معرفی کرد.
مجموعه‌ کنونی کاخ سعدآباد در زمان حکومت پهلوی بنا شده است. به عبارتی ابتدا کاخ مادر در این محوطه‌ سرسبز ساخته شد اما، در حال حاضر می‌توانید در کاخ سعدآباد از آثار تاریخی مانند کاخ موزه ملت (کاخ سفید)، موزه هنر ملل، کاخ موزه سبز، موزه ظروف سلطنتی، موزه پوشاک سلطنتی، موزه هنرهای زیبا، موزه نظامی، موزه آشپزخانه سلطنتی، موزه اتومبیل‌های سلطنتی، موزه خط، موزه برادران امیدوار، موزه استاد بهزاد، موزه آب و موزه آلبوم‌های سلطنتی دیدن کنید.
هرکدام از بناهای ذکر شده در گذشته متعلق به اعضای خانواده‌ی پهلوی بوده است. اگر به دنبال یکی از جاهای تفریحی تهران هستید که فضای سرسبزی هم داشته باشد، کاخ موزه‌ سعدآباد هم فال است و هم تماشا! ب رای دسترسی به این کاخ تاریخی، ایستگاه تجریش در مترو بسیار مناسب است.
ساعت بازدید از کاخ سعدآباد: ۹ تا ۷ عصر
آدرس کاخ سعدآباد: زعفرانیه، خیابان طاهری
آدرس کاخ سعدآباد روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2023/10/%D8%B3%D8%B9%D8%AF%D8%A2%D8%A8%D8%A7%D8%AF.jpg,images/image_5.jpg
بازار تهران | آشنایی با فرهنگ مردم تهران,"یکی از جاهای دیدنی تهران، بازار بزرگ است. این بازار زیبا طاق‌های ضربی دارد و از معماری آن می‌توان قدمتش را حدس زد. گفته می‌شود، قدمت بازار بزرگ تهران به دوره قاجار باز می‌گردد. بازار سنتی تهران تنها کارکرد اقتصادی ندارد، بلکه این مکان تاریخی نقشی اساسی در تحولات سیاسی و اجتماعی کشور داشته است . داخل بازار بزرگ تهران دکه‌ها، حجره‌ها، فروشگاه‌ها و رستوران‌های بسیاری قرار دارد.
ساعت بازدید از بازار بزرگ تهران: همه روزه از صبح تا ۶ عصر
آدرس بازار بزرگ تهران: میدان پانزده خرداد
آدرس بازار تهران روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2023/10/%D8%A8%D8%A7%D8%B2%D8%A7%D8%B1-%D8%AA%D9%87%D8%B1%D8%A7%D9%86-1.jpg,images/image_6.jpg
خانه موزه مقدم | سفری به طهران قدیم,"اگر می‌خواهید نمونه‌ای کامل از خانه‌های خاطره انگیز قدیمی تهران را به چشم ببینید، خانه موزه مقدم را پیشنهاد می‌کنیم. خانه مقدم متعلق به خاندان محمدتقی خان احتساب الملک از درباریان دوران قاجار بود. سپس این خانه‌‌ تاریخی در اختیار پسرش دکتر محسن مقدم استاد باستان شناسی ایران قرار گرفت. دکتر مقدم استاد باستان شناسی بود، از همین رو به آثار و بناهای تاریخی علاقه وافری داشت.
با بازدید از این مکان تاریخی می‌توانید کلکسیون پارچه، چپق و قلیان، سفالینه، شیشه، تابلو نقاشی و اسناد تاریخی را مشاهده کنید. خانه موزه مقدم با اصول باغ ایرانی طراحی شده است. حوض آبی، گلدان‌های شمعدانی، کاشی‌کاری‌های لاجوردی، ستون‌های فیروزه‌ای و ظروف قاجاری همگی از خانه مقدم، موزه‌ای منحصر به فرد و تاریخی در دل تهران ساخته و این مکان را به یکی از زیباترین جاهای دیدنی تهران بدل کرده است. ب رای دسترسی به این اماکن دیدنی تهران می‌توانید از ایستگاه متروی امام خمینی استفاده کنید.
ساعت بازدید از خانه موزه مقدم: ۱۰ صبح تا ۷ عصر
آدرس خانه موزه مقدم: خیابان امام خمینی، بین خیابان ولیعصر و شیخ هادی
آدرس خانه موزه مقدم روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2023/10/%D8%AE%D8%A7%D9%86%D9%87-%D9%85%D9%82%D8%AF%D9%85.jpg,images/image_7.jpg
عمارت ارباب هرمز | جاذبه ای که کمتر از آن شنیده اید!,"بیشتر آثار تاریخی تهران در خیابان‌های مرکزی و شمال این شهر قرار گرفته‌اند. اما عمارت ارباب هرمز جزو معدود مناطق گردشگری تهران است که در شرق قرار دارد. این  بازمانده‌ دوران قاجار، با معماری سنتی و غربی طراحی شده و در حال حاضر به‌عنوان موزه‌ گرافیک از آن استفاده می‌شود.
جالب است بدانید که ارباب هرمز با کمک مهندسان بسیاری، شرق تهران را خیابان‌کشی کرد. او مراکز بسیاری در شرق تهران احداث کرد. عمارت ارباب هرمز ۹۰۰ مترمربع مساحت دارد و در باغی با وسعت ۴۲ هزار مترمربع قرار دارد. در واقع، عمارت ارباب هرمز را می‌توانید علاوه بر یک مکان تاریخی به عنوان باغ تفریحی تهران نیز بشناسید. برای دسترسی به این بنای تاریخی از ایستگاه متروی علم و صنعت استفاده کنید.
ساعت بازدید عمارت ارباب هرمز: ۱۰ صبح تا ۶ عصر
آدرس عمارت ارباب هرمز: اتوبان همت شرق، اتوبان باقری شمال، بلوار استقلال شرق، خیابان قزوینی، محوطه پارک پلیس شمالی، موزه گرافیک ایران
آدرس عمارت ارباب هرمز روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2023/10/%D8%A7%D8%B1%D8%A8%D8%A7%D8%A8-%D9%87%D8%B1%D9%85%D8%B2.jpg,images/image_8.jpg
سردر باغ ملی تهران | جلوه هنر و زیبایی,"یکی از زیباترین جاهای گردشی تهران را می‌توانید در خیابان‌های پر ترافیک میدان توپخانه (امام خمینی) بیابید. سردر باغ ملی یادگار دوران قاجار است. این سردر در واقع دروازه‌ای به یکی از میدان‌های شهر به نام مشق بوده که در اختیار قشون شاهنشاهی قرار گرفته بود. رضا شاه زمانی که وزیر جنگ دربار فتحعلی شاه بود، دستور ساخت سردر باغ ملی را صادر کرد.
معماری این بنای تاریخی برگرفته از هنر ایرانی و اروپایی است. کاشی‌کاری‌های کلاه فرنگی به این بنا جلوه‌ای اشرافی تاریخی داده و از این رو آن را به یکی از جاهای دیدنی تهران برای عکس گرفتن تبدیل کرده است. این بنا دو بخش درونی و بیرونی دارد که در نمای درونی آن تصاویری از هخامنشیان و کوروش کبیر دیده می‌شود.
جالب است بدانید که باغ ملی بیش از چندسال دوام نیاورد، اما سردر باغ ملی باقی ماند. در اطراف این بنای تاریخی کتابخانه‌ ملی، موزه ایران باستان و ساختمان وزارت امور خارجه قرار دارد. برای دسترسی به سردر باغ ملی در ایستگاه امام خمینی پیاده شوید و به سمت غرب حرکت کنید.
ساعت بازدید: ۷ صبح تا ۷ عصر
آدرس سردر باغ ملی: تهران، خیابان امام خمینی
آدرس سردر باغ ملی تهران روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2023/10/%D8%A8%D8%A7%D8%BA-%D9%85%D9%84%DB%8C-1.jpg,images/image_9.jpg
باغ نگارستان | از جاهای دیدنی تهران در شب,"اگر به دنبال باغی تفریحی و گردش در یکی از زیباترین جاهای دیدنی تهران هستید، باغ نگارستان انتخاب مناسبی است. چرا که باغ نگارستان فضایی سرسبز و آرام دارد و به همین دلیل یکی از جاهای دیدنی تهران در بهار نیز به شمار می‌آید. این باغ متعلق به دوران قاجار است و فتحعلی شاه اقدام به ساخت آن کرده است. در باغ نگارستان عمارت‌های بسیاری مانند دلگشا، سلام، قلمدان و حوضخانه وجود دارد. البته باغ نگارستان را بیشتر با دانشسرای آن و کتابخانه‌‌اش می‌شناسند. باغ نگارستان یکی از جاهای دیدنی تهران در شب نیز محسوب محسوب می‌شود.
نام این باغ از موزه هنرهای ملی در حوض خانه‌ باغ برگرفته شده است. آثار هنری بسیاری از هنرمندان معاصر در این موزه نگهداری می‌شود. همچنین بر روی دیوار باغ می‌توانید نقاشی‌های نفیسی از پادشاهان را مشاهده کنید. در باغ نگارستان می‌توانید از موزه کمال الملک، دیوار نگاره صف سلام، آثار هنری جهانگیر ارجمند، تالار منیر فرمانفرمائیان، اتاق کاشی‌ها و نقاشی‌های فتح‌الله عباد دیدن کنید. باغ نگارستان یکی از مهمترین جاهای تفریحی تهران به شمار می‌آید که در خیابان بهارستان واقع شده است.
ساعت بازدید از باغ نگارستان: ۱۰ تا ۷ عصر
آدرس باغ نگارستان: میدان بهارستان، جنب متروی بهارستان، خیابان دانشسرا، خیابان شریعتمدار رفیع
آدرس باغ نگارستان روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2023/10/%D9%86%DA%AF%D8%A7%D8%B1%D8%B3%D8%AA%D8%A7%D9%86.jpg,images/image_10.jpg
