title,text,image_url,image_file
چرا بازدید از جاهای گردشگری اردبیل را پیشنهاد می‌کنیم؟,,,
بقعه شیخ صفی الدین اردبیلی,,https://safarmarket.com/blog/data/uploaded_files/2194827383ffe026b705c12a.jpg,images/image_2.jpg
بازار اردبیل,,https://safarmarket.com/blog/data/uploaded_files/1f7a25be92a74d86d8dc9e18.jpg,images/image_3.jpg
بازار جدید طلافروشان اردبیل,,https://safarmarket.com/blog/data/uploaded_files/1457f2afb46e78c1811c09f9.jpg,images/image_4.jpg
کلیسای مریم مقدس,,,
مسجد جامع اردبیل,,,
آرامگاه شیخ امین الدین جبرئیل,,,
پیست اسکی آلوارس,,https://safarmarket.com/blog/data/uploaded_files/ba570e08dc668977de8adbfd.jpg,images/image_8.jpg
برج شاطر,,https://safarmarket.com/blog/data/uploaded_files/996fcc470308b8e7dd00db8e.jpg,images/image_9.jpg
محوطه باستانی قلعه خسرو,,,
موزه چینی خانه اردبیل,,https://safarmarket.com/blog/data/uploaded_files/d33d57112b11305d626239f7.jpg,images/image_11.jpg
موزه مردم شناسی اردبیل,,https://safarmarket.com/blog/data/uploaded_files/4f5b0662f998bfbda1e57433.jpg,images/image_12.jpg
موزه تاریخ طبیعی اردبیل,,,
موزه صنایع دستی اردبیل,,,
موزه باستان شناسی اردبیل,,https://safarmarket.com/blog/data/uploaded_files/400ed2a8a70fae0f37677c9f.jpg,images/image_15.jpg
موزه مفاخر دینی اردبیل,,https://safarmarket.com/blog/data/uploaded_files/f9be85b0655500369ddf6627.jpg,images/image_16.jpg
خانه ارشادی,,https://safarmarket.com/blog/data/uploaded_files/12d59e322d5139456d4c3b7b.jpg,images/image_17.jpg
خانه مناف زاده اردبیل,,,
خانه وکیل الرعایا,,,
خانه صادقی,,https://safarmarket.com/blog/data/uploaded_files/142716da0ad26ef134c4fe38.jpg,images/image_20.jpg
دره جنگلی ایردموسی,,https://safarmarket.com/blog/data/uploaded_files/827c682f5d11d86b0b3358f8.jpg,images/image_21.jpg
دریاچه نئور اردبیل,,,
دریاچه شورابیل,,https://safarmarket.com/blog/data/uploaded_files/0131809746a78d61ecc09170.jpg,images/image_23.jpg
رودخانه بالیقلو چای,,https://safarmarket.com/blog/data/uploaded_files/1f3d865b23ca95e3ae743d13.jpg,images/image_24.jpg
پل هفت چشمه اردبیل,,,
پل ابراهیم آباد,,https://safarmarket.com/blog/data/uploaded_files/4d492562caaab45534a7c399.jpg,images/image_26.jpg
پل سیدآباد اردبیل,,,
حمام تاریخی اوچدکان,,,
