title,text,image_url,image_file
حرم امام رضا (ع) | نماد مشهد,"لیست خود را با مهمترین و برجسته‌ترین جاذبه گردشگری در مشهد، یعنی حرم امام رضا (ع) آغاز می‌کنیم. سازه اولیه حرم امام رضا به زمان پیش از صفویه بازمی‌گردد؛ از این رو، یادگاری‌های تاریخی زیادی از دوره‌های تاریخی زمان تیموری، صفوی و دوران پس از آن در این مکان برجای مانده است و آن را به یکی از محبوب‌ترین جاهای دیدنی ایران تبدیل کرده است.
علاوه بر بعد معنوی و مقدس این حرم، از لحاظ تاریخی نیز اهمیت زیادی دارد. مسجدها، رواق‌ها، کتابخانه‌ها، آرامگاه‌ها، صحن‌ها و معماری حرم با کاشی‌ها و تزیینات شیشه‌ای و چراغ آویزها، هر بیننده‌ای را میخکوب زیبایی‌های این حرم مقدس می‌کند. حرم مطهر امام رضا (ع) همچون نگینی در مشهد می‌درخشد. اما در کنار حرم، بناهای مهم دیگری نیز قرار دارد که دیدن آنها خالی از لطف نیست.
ساعت بازدید: شبانه‌روزی
هزینه ورودی: رایگان",https://www.flytoday.ir/blog/wp-content/uploads/2024/06/%D8%AD%D8%B1%D9%85-%D9%85%D8%B7%D9%87%D8%B1-%D8%A7%D9%85%D8%A7%D9%85-%D8%B1%D8%B6%D8%A7-%D8%B9-_-%D9%86%D9%85%D8%A7%D8%AF-%D9%85%D8%B4%D9%87%D8%AF.jpg,images/image_1.jpg
آدرس حرم امام رضا (ع) روی نقشه گوگل,,,
جاهای دیدنی مشهد نزدیک حرم,زائران زیادی ترجیح می‌دهند که رزرو هتل مشهد را در نزدیکی حرم انجام دهند. با این کار علاوه بر نزدیکی به بارگاه امام رضا می‌توانید از جاهای دیدنی نزدیک حرم نیز به راحتی بازدید کنید. در ادامه با این جاذبه های گردشگری در مشهد بیشتر آشنا شوید.,,
مسجد گوهرشاد | با کاشی کاری‌های منحصربه‌فرد,"در جنوب حرم مطهر رضوی، مسجد گوهرشاد قرار گرفته است که سابقه تاریخی دیرینه‌ای دارد. این مسجد در زمان تیموریان، به دستور گوهرشاد همسر شاهرخ ساخته شد. معماری و کاشی‌کاری این مسجد منحصر به فرد است. گنبد مسجد ۴۱ متر و مناره‌های آن، ۴۳ متر ارتفاع دارد.
ساعت کاری : همه روزه و ۲۴ ساعته (رایگان)
آدرس: ضلع جنوبی حرم مطهر رضوی",https://www.flytoday.ir/blog/wp-content/uploads/2024/06/%D9%85%D8%B3%D8%AC%D8%AF-%DA%AF%D9%88%D9%87%D8%B1%D8%B4%D8%A7%D8%AF.jpg,images/image_4.jpg
آرامگاه پیر پالاندوز | آرامگاه محمد عارف عباسی,"در نزدیکی حرم اما رضا (ع)، آرامگاهی با کاشی‌های فیروزه و دیوارهای آجری و گنبد پیاز شکل قرار گرفته که متعلق به عارفی به نام محمد عارف عباسی است. بنای این آرامگاه در زمان صفویه ساخته شده و آثار معماری آن دوران را می‌توان در این بنا دید.
ساعت کاری: همه روزه و ۲۴ ساعته (رایگان)
آدرس: خیابان نواب صفوی، ضلع شرقی حرم امام رضا (ع)",https://www.flytoday.ir/blog/wp-content/uploads/2024/06/%D8%A2%D8%B1%D8%A7%D9%85%DA%AF%D8%A7%D9%87-%D9%BE%DB%8C%D8%B1-%D9%BE%D8%A7%D9%84%D8%A7%D9%86%D8%AF%D9%88%D8%B2.jpg,images/image_5.jpg
موزه نادر شاه افشار | جنگ افزارها و تسلیحات نظامی دوره نادرشاه,"موزه نادر شاه افشار که یکی از مشهورترین جاذبه های گردشگری مشهد است دربردارنده جنگ افزارها و تسلیحات نظامی از زمان نادر شاه افشار است. همچنین آرامگاه نادرشاه افشار و محمد تقی خان پسیان، یکی از فرماندهان مشهور خراسان نیز در این مکان قرار دارد.
ساعات کاری موزه نادر شاه افشار: تمامی روزهای هفته از ساعت ۹ الی ۱۷
آدرس موزه نادر شاه افشار: استان خراسان رضوی، مشهد، چهار راه شهدا، خمیابان شیرازی، باغ نادری",https://www.flytoday.ir/blog/wp-content/uploads/2024/06/%D9%85%D9%88%D8%B2%D9%87-%D9%86%D8%A7%D8%AF%D8%B1-%D8%B4%D8%A7%D9%87-%D8%A7%D9%81%D8%B4%D8%A7%D8%B1.jpg,images/image_6.jpg
بازار رضا | مناسب برای خرید سوغات مشهد,"بازار رضا در نزدیکی حرم یکی از شلوغ‌ترین قسمت‌های مشهد است. بافت قدیمی بازار، مغازه‌های بی‌شمار فروش سوغات و انواع متنوع کالاهایی که در این بازار به فروش می‌رسد، برای هر کسی جذاب خواهد بود. به علاوه، در طبقه دوم این بازار، می‌توانید کارگاه‌های صنایع دستی، طلاکاری و فیروزه‌تراشی را ببینید و تجربه‌ای متفاوت کسب کنید. برای کسب اطلاعات دقیق پیشنهاد می‌کنیم مطلب معرفی کامل بازار رضا مشهد را در مجله گردشگری فلای‌تودی بخوانید.
ساعت کاری: ۹ صبح الی ۱۰ شب
آدرس: ضلع شرقی میدان آب، بازار رضا",https://www.flytoday.ir/blog/wp-content/uploads/2024/06/%D8%A8%D8%A7%D8%B2%D8%A7%D8%B1-%D8%B1%D8%B6%D8%A7.jpg,images/image_7.jpg
جاذبه‌ های طبیعی و پارک‌ های مشهد,از جاذبه های نزدیک حرم در مشهد که بگذریم، این شهر طبیعت زیبایی نیز دارد. چه به صورت شخصی و به همراه خانواده و چه با تور مشهد به این شهر سفر می‌کنید توصیه ما به شما این است که مکان‌های گردشگری در مشهد، از پارک‌های مشهد گرفته تا روستاهای نزدیک این شهر را به راحتی از دست ندهید.,,
پارک ملت مشهد | بزرگ‌ترین و قدیمی‌ترین پارک مشهد,"محال است که به مشهد سفر کنید و سفر خود به این شهر را بدون دیدن پارک ملت مشهد، بزرگ‌ترین و قدیمی‌ترین پارک مشهد به پایان برسانید. با وجود امکانات تفریحی پارک ملت مشهد، وقت گذرانی در آن بسیار آسان است. در بازدید از پارک ملت مشهد می‌توانید از وقت گذرانی در شهربازی، زمین‌های ورزشی، کتابخانه و یا استخر شنای آن لذت ببرید.
در شهربازی پارک ملت مشهد می‌توانید سوار یکی از بزرگ ترین چرخ و فلک های خاورمیانه و هجدهمین چرخ و فلک بزرگ دنیا شوید. در قسمت شرقی پارک ملت مشهد دریاچه‌ای بزرگ خودنمایی می‌کند. در قسمت غربی این پارک هم می‌توانید از امکاناتی مانند استخر، زمین والیبال، زمین فوتبال، زمین تنیس و یا پیست اسکیت، استفاده کنید.
شماره تلفن پارک ملت مشهد: ۰۵۱ ۳۶۰۹ ۴۹۸۶
آدرس پارک ملت مشهد: استان خراسان رضوی، مشهد، بلوار وکیل آباد ،بلوار امامت ،مقابل امامت ۸",https://www.flytoday.ir/blog/wp-content/uploads/2024/06/%D9%BE%D8%A7%D8%B1%DA%A9-%D9%85%D9%84%D8%AA-%D9%85%D8%B4%D9%87%D8%AF.jpg,images/image_9.jpg
چالیدره مشهد | از ماهیگیری و قایق سواری تا ترن,"هنگامی که در طرقبه هستید بازدید از چالیدره را فراموش نکنید. در چالیدره می‌توانید ماهیگیری کنید و یا از قایق سواری در آن لذت ببرید. به طور کلی تفریحات بسیاری در چالیدره وجود دارد که از آن میان می‌توان به لنج‌های تفریحی، قایق‌های موتوری، قایق‌های پدالی، تله سیژ، بانجی جامپینگ و ترن کوهستان اشاره کرد. اگر به کمپینگ در نزدیکی آب علاقمند هستید، چالیدره یکی از مکان‌ های طبیعی مشهد است که در سفر به خراسان رضوی حتما باید از آن دیدن کنید. برای آشنایی کامل با این منطقه تفریحی و راه های دسترسی به آن، مطلب چالیدره مشهد را در مجله گردشگری فلای تودی بخوانید.
ساعات کاری چالیدره: همه روزه از ساعت ۹ الی ۲ صبح
شماره تلفن چالیدره : ۰۵۱ ۳۴۲۲ ۷۱۲۵
آدرس چالیدره : استان خراسان رضوی، مشهد به سمت طرقبه جاده عنبران، انتهای بلوار",https://www.flytoday.ir/blog/wp-content/uploads/2024/06/%DA%86%D8%A7%D9%84%DB%8C%D8%AF%D8%B1%D9%87-%D9%85%D8%B4%D9%87%D8%AF.jpg,images/image_10.jpg
