title,text,image_url,image_file
پارک جنگلی انزلی,"اگر از جاده رشت به سمت انزلی می‌روید، در ورودی شرقی این شهر پارکی وسیع و جذاب توجه شما را جلب خواهد کرد. این پارک که با نام پارک جنگلی انزلی شناخته می‌شود، بیش از ۱۳ هکتار وسعت دارد. پارک جنگلی از بهترین جاهای دیدنی بندر انزلی است و فضایی آرام، دنج و زیبا برای استراحت و تفریح در اختیار شما قرار می‌دهد.
وجود آلاچیق‌های متعدد، سرویس‌های بهداشتی، دسترسی به آب سالم، فروشگاه و... از جمله امکاناتی است که گشت‌وگذار در آن را برای گردشگران دلپذیرتر می‌کند.
از سوی دیگر، غرفه صنایع‌دستی جذابی هم در پارک جنگلی بندر انزلی وجود دارد که شما می‌توانید سوغات این شهر را از آن تهیه کرده و با خود به یادگار ببرید. اگر به دنبال یک فضای طبیعی ایده‌آل برای تفریح و پیک‌نیک در شهر انزلی هستید، حتماً سری به این پارک زیبا بزنید و از هوای پارک و آرامش آن لذت ببرید.
مسیر دسترسی اول: بندر انزلی، بلوار آیت‌الله پیشوایی، پارک جنگلی انزلی مسیر دسترسی دوم: بندر انزلی، دهکده ساحلی، بلوار دریا، بلوار ساحلی شرقی، پارک جنگلی انزلی",https://s3.thr1.sotoon.ir/jabama-mag/posts/post-a0ec3eb1-9475-43bc-826c-b7ce7324bc84/xO4B9yXL4rhv1oEM2hcgU.jpeg,images/image_1.jpg
سواحل بندر انزلی,"سواحل زیبای بندر انزلی قطعاً بهترین و مهم‌ترین جای دیدنی در این شهر هستند که نباید از دست بدهید. قرارگرفتن در حاشیه دریا یک مزیت بزرگ برای این شهر است که باعث شده گردشگران بتوانند به‌راحتی به تفریحات دریایی جذاب و سایر امکانات رفاهی در آن دسترسی داشته باشند.
خط ساحلی بندر انزلی حدود ۴۴ کیلومتر طول دارد و در این مسیر، بخش‌های مختلفی برای حضور گردشگران آماده‌سازی شده است. البته دسترسی مسافران به همه بخش‌های ساحل انزلی امکان‌پذیر است؛ اما درصورتی‌که دوست دارید از حضور و تفریح در سواحل انزلی لذت بیشتری ببرید، می‌توانید مناطق ساحلی که در ادامه به آن‌ها اشاره می‌کنیم را انتخاب کنید.
در بیشتر این سواحل، امکانات رفاهی مثل آلاچیق، سرویس بهداشتی و حمام، فروشگاه مواد غذایی و صنایع‌دستی، محوطه امن برای شنا، ورزش‌های ساحلی و تفریحات دریایی و... وجود دارد تا با خیال راحت در آن‌ها به تفریح بپردازید و حسابی لذت ببرید. برخی از مهم‌ترین و محبوب‌ترین سواحل بندر انزلی عبارت‌اند از:
ساحل قو ساحل جفرود مجتمع ساحلی تازه آباد ساحل کپورچال ساحل دریای طالب آباد و...",https://s3.thr1.sotoon.ir/jabama-mag/posts/post-a0ec3eb1-9475-43bc-826c-b7ce7324bc84/PCfqKfXNQWH9CYr66I9no.jpeg,images/image_2.jpg
بهترین اقامتگاه‌های انزلی,,,
ویلا یک خوابه گلاور,,,
اقامتگاه سنتی چکامه - واحد جکوزی دار نگاه,,,
ویلا یک خوابه شقایق  1,,,
کلبه یک خوابه دوبلکس فرزام,,,
ویلا یک خوابه ساحلی شریعتی 4,,,
ویلا دوخوابه حسنی 8,,,
ویلا یک خوابه گلاور,,,
اقامتگاه سنتی چکامه - واحد جکوزی دار نگاه,,,
ویلا یک خوابه شقایق  1,,,
کلبه یک خوابه دوبلکس فرزام,,,
ویلا یک خوابه ساحلی شریعتی 4,,,
ویلا دوخوابه حسنی 8,,,
پارک بهشت پرندگان,"یکی از دنج‌ترین جاهای دیدنی انزلی، پارک بهشت پرندگان است که در فاز تجارت و گردشگری منطقه آزاد انزلی قرار دارد. در نخستین نگاه، فقط یک پل چوبی در این مجموعه توجه شما را به خود جلب می‌کند؛ اما وقتی مسیر پل را ادامه بدهید، به یک دریاچه زیبا و آرام در دل محوطه‌ای جنگلی و سرسبز می‌رسید که منظره‌ای چشم‌نواز و رؤیایی دارد.
این دریاچه با وجود نزدیکی به یکی از شلوغ‌ترین مراکز تفریحی انزلی، بسیار آرام و دلنشین است و شما می‌توانید از تفریح و استراحت در آن حسابی لذت ببرید. آرامش و زیبایی این منطقه آن را به یکی از محبوب‌ترین مناطق دیدنی انزلی تبدیل کرده است.
در نقاط مختلف این پارک و بر روی شاخه‌های درختان یا در میان نیزارها، لانه‌های پرندگان مختلف وجود دارد و معمولاً در نیمه دوم سال، پرندگان مهاجری را که از مناطق سردسیر شمالی کره زمین راهی کشور ما شده‌اند، خواهید دید.
چندین قایق پدالی هم در این پارک وجود دارد که به شما امکان می‌دهد قایق‌سواری در دریاچه پارک بهشت پرندگان را تجربه کنید. نورپردازی پارک در شب هم بسیار تماشایی است و گردشگران زیادی برای گشت‌وگذار و ثبت عکس‌های زیبا، راهی آن می‌شوند.
آدرس: استان گیلان، بندر انزلی، بلوار شهید فاتحی، فاز تجارت و گردشگری منطقه آزاد انزلی، جنب آکواریوم فانتستیک، پارک بهشت پرندگان",,
کشتی تفریحی مایا بندر انزلی,"مایا یکی از کشتی‌های تفریحی بندر انزلی است که می‌تواند در هر سانس، از حدود ۵۰ گردشگر در قالب گشت دریایی، پذیرایی کند.
یکی از ویژگی‌های جذاب این کشتی، کف شیشه‌ای آن است که به شما امکان می‌دهد تا بتوانید دنیای زیر آب را در حین حرکت کشتی تماشا کنید و لذت ببرید. کشتی تفریحی مایا دارای خدمات پذیرایی، کافی‌شاپ و گروه موسیقی است و شما می‌توانید حدود ۹۰ دقیقه شادی و هیجان را در این کشتی جذاب تجربه کنید.
امکان برگزاری جشن‌ها و مراسم خصوصی، همایش‌ها، جلسات کاری و اردوهای تفریحی هم در مایا فراهم است و پرسنل آن تلاش می‌کنند تا خاطرات خوشی از حضور در آن داشته باشید. اگر دوست دارید اطلاعات بیشتری درباره این کشتی تفریحی و گشت دریایی آن به دست آورید، حتما مقاله کشتی تفریحی مایا بندر انزلی را مطالعه کنید.
آدرس: استان گیلان، بندر انزلی، خیابان تکاوران، جنب مجتمع صنایع دریایی شهید تمجیدی، بخش تفریحی و گردشگری اسکله ماهیگیران، کشتی تفریحی مایا شماره تماس و رزرو: ۰۹۱۲۸۸۷۱۸۸۵- ۰۹۱۲۴۵۴۸۹۸۵- ۰۹۳۸۴۵۴۸۹۸۵",https://s3.thr1.sotoon.ir/jabama-mag/posts/post-a0ec3eb1-9475-43bc-826c-b7ce7324bc84/joSEa_BHhMHVgMvIP0MO4.jpeg,images/image_17.jpg
