title,text,image_url,image_file
جاهای دیدنی خرم آباد,در آغاز سفر بهتر است با جاذبه‌های مرکز استان لرستان‌ یعنی جاهای دیدنی خرم‌آباد آشنا شوید که در ادامه آن‌ها را معرفی می‌کنیم.,,
جنگل و آبشار نای‌انگیز,"به محض ورود به جنگل نای‌انگیز خرم‌آباد، صدای آب و آواز پرنده‌ها جای شلوغی شهر را می‌گیرد؛ مسیری در دل جنگل‌های بلوط زاگرس که شما را به یکی از بکرترین آبشارهای لرستان می‌رساند. جنگل و آبشار نای‌انگیز در نزدیکی روستایی با همین نام و جنوب‌شرقی خرم‌آباد قرار دارند. برای دسترسی به آبشار نای‌انگیز باید بعد از رسیدن به روستا، حدودا ۲ ساعت را پیاده‌‌روی کنید. بهترین زمان بازدید از این جاذبه، بهار و اردیبهشت است زیرا جنگل در سرسبزترین و آبشار در پرآب‌ترین حالت خود است.
آدرس: لرستان، خرم‌آباد، بخش پاپی، روستای نای‌انگیز
لوکیشن جنگل و آبشار نای انگیز روی نقشه",https://www.eghamat24.com/blog/wp-content/uploads/2026/05/Nayanigiz-Forest-and-Waterfall.webp,images/image_2.webp
غار کلدر,"غار کلدر به عنوان یکی از مهم‌ترین محوطه‌های باستان‌شناسی ایران و جهان شناخته می‌شود چون آثار زندگی انسان هوشمند یا همان هوموساپینس‌ (گونه‌ای که نسل امروزی بشر به آن تعلق دارد) در آن کشف شده است. بررسی‌های باستان‌شناسی نشان می‌دهد که قدمت برخی از لایه‌های این غار به بیش از ۶۳ هزار سال می‌رسد! وقتی وارد این غار می‌شوید، فضای بکر، تاریکی، سکوت، بوی خاک مرطوب و نقاشی‌های دیواری، شما را به حال‌وهوای متفاوتی می‌برد؛ انگار با برداشتن هر قدم به لایه‌های عمیق‌تری از زندگی انسان‌های نخستین نزدیک می‌شوید.
آدرس: لرستان، ۵ کیلومتری شمال خرم‌آباد
ساعت بازدید: شبانه‌روزی
هزینه ورودی: رایگان
لوکیشن غار کلدر روی نقشه",https://www.eghamat24.com/blog/wp-content/uploads/2026/05/Calder-Cave.webp,images/image_3.webp
آبشار گرمه,"آبشار گرمه یکی از آبشارهای کمترشناخته‌شده لرستان است که در نزدیکی روستای چم‌چیت و در مسیر رودخانه سزار قرار دارد. این آبشار ۲۰متری در ۲۳ کیلومتری جنوب غربی دورود، میان درختان انبوه و پوشش گیاهی زیبایی مثل زنبق، نرگس، نعنا و پونه قرار گرفته است. مسیر رسیدن به آبشار گرمه نسبتا ساده است، بنابراین اگر قصد ندارید مسیرهای مرتفع‌تر را طی کنید، به تجهیزات خاصی هم احتیاج ندارید. اگر می‌خواهید شب را در منطقه بمانید، بهتر است با راهنمای محلی مشورت کنید چون به دلیل بکر بودن منطقه، بعضی از گونه‌های جانوری مثل گراز، اسب وحشی، خرس قهوه‌ای و… در آن زندگی می‌کنند و خطر حمله حیوانات وجود دارد.
آدرس: لرستان، ۲۳ کیلومتری جنوب غربی دورود
لوکیشن آبشار گرمه روی نقشه",https://www.eghamat24.com/blog/wp-content/uploads/2026/05/Garmeh-Waterfall.webp,images/image_4.webp
آبشار بیشه,"یکی از اولین پاسخ‌هایی که در جواب سوال «جاهای دیدنی لرستان کجاست» از گردشگران دریافت می‌کنید، آبشار بیشه است. این آبشار باشکوه بدون شک یکی از زیباترین جاهای دیدنی لرستان است که در ارتفاعات کوهستانی زاگرس و نزدیک روستای بیشه قرار دارد. در آبشار بیشه، ترکیب صدای ریزش آب با تصویر درختان سرسبز بلوط و کوه‌های زاگرس، منظره‌ای کم‌نظیر را خلق کرده که بیشتر شبیه یک قاب سینمایی‌ست. برای رسیدن به آبشار بیشه می‌توانید از مسیر آسفالت استفاده کنید یا با قطار خودتان را به ایستگاه دورود برسانید.
آدرس: لرستان، شهرستان دورود، بخش پاپی، دهستان سپیددشت، روستای بیشه
لوکیشن آبشار بیشه روی نقشه",https://www.eghamat24.com/blog/wp-content/uploads/2026/05/Bisheh-Waterfall.webp,images/image_5.webp
پارک جنگلی مخمل کوه,"پارک جنگلی مخمل‌کوه یکی از جاهای دیدنی لرستان برای خانواده‌ها و گروه‌های طبیعت‌گردی‌ست. این پارک ترکیبی از کوه‌های سرسبز، دره‌های چشم‌نواز، چشمه‌ها و آبشارهای طبیعی بوده و در مسیر جاده الشتر قرار دارد. پارک جنگلی مخمل کوه به خاطر پوشش سبز و مخملی کوه‌هایش به این نام شناخته می‌شود. گل‌سنگ‌هایی که سطح کوه‌ها را پوشانده‌اند، مخصوصا در فصل بهار، منظره‌ای سبز و متفاوت خلق را می‌کنند. فضای این پارک برای پیاده‌روی، طبیعت‌گردی و پیک‌نیک مناسب است و هم‌چنین در بخش شمالی خود امکاناتی مانند آلاچیق، رستوران و فضای بازی کودکان دارد. برای دسترسی به پارک مخمل‌کوه می‌توانید از میدان ۲۲ بهمن خرم‌آباد به خیابان ولیعصر وارد شوید و از آنجا تا پارک را پیاده‌روی کنید.
آدرس: لرستان، شمال خرم‌آباد، کیلومتر ۱۵ جاده خرم‌آباد به الشتر
ساعت بازدید: شبانه‌روزی
هزینه ورودی: رایگان
لوکیشن پارک جنگلی مخمل کوه روی نقشه",https://www.eghamat24.com/blog/wp-content/uploads/2026/05/Makhmalkouh-Forest-Park.webp,images/image_6.webp
بازار سنتی خرم‌آباد,"بازار سنتی خرم‌آباد یکی از قدیمی‌ترین بازارهای معروف این شهر است که قدمت آن به دوره قاجار می‌رسد و به نام‌های بازار طلافروشان و بازار میرزا معروف است. این بازار سرپوشیده با معماری سنتی‌اش، حال‌وهوای بازارهای تاریخی را زنده نگه داشته و در حال حاضر یکی از جاذبه‌های تاریخی لرستان به شمار می‌رود. در گذشته از این بازار به عنوان کاروانسرا استفاده می‌شد و محل رفت‌وآمد تاجران و مسافران بوده است.
آدرس: لرستان، خرم‌آباد، خیابان حافظ
ساعت کاری: هر از ۹ صبح تا ۲۰
هزینه ورودی: رایگان
لوکیشن بازار سنتی خرم‌ آباد روی نقشه",https://www.eghamat24.com/blog/wp-content/uploads/2026/05/Khorramabad-Traditional-Bazaar.webp,images/image_7.webp
آبشار نوژیان,"نوژیان آبشاری‌ست بلند و خروشان در دل کوه‌های لرستان که از ارتفاعی نزدیک به ۹۵ متر به پایین می‌ریزد و مه خنکی را میان صخره‌ها و درختان پخش می‌کند. همین عظمت و چشم‌انداز متفاوت، نوژیان را به یکی از مشهورترین آبشارهای ایران تبدیل کرده است. این آبشار در میان کوه‌های تاف و هشتاد پهلو قرار گرفته است. در مسیر رسیدن به این آبشار می‌توانید منظره‌های سبز و گیاهان دارویی مختلفی را ببینید و در هوای پاک کوهستان، نفس تازه کنید. بهار و اوایل پاییز بهترین زمان سفر به نوژیان هستند زیرا طبیعت اطراف آبشار در زیباترین حالت خود قرار دارد و صدای ریزش آب با سکوت کوهستان ترکیب می‌شود. شاید برای رسیدن به این آبشار نیاز باشد کمی پیاده‌روی کنید، اما منظره‌ای که انتهای مسیر انتظارتان را می‌کشد، خستگی راه را کاملا از یادتان می‌برد.
آدرس: لرستان، ۳۸ کیلومتری جاده کمربندی خرم‌آباد، نزدیکی روستای نوژیان
لوکیشن آبشار نوژیان روی نقشه",https://www.eghamat24.com/blog/wp-content/uploads/2026/05/Nozhian-Waterfall.webp,images/image_8.webp
قلعه فلک الافلاک,"برج میلاد لرستان را به شما معرفی می‌کنیم؛ قلعه فلک الافلاک (دژ شاپور، قلعه اتابکان و قلعه دوازده‌برجی)، که بر فراز تپه‌ای مشرف به شهر خرم‌آباد قرار دارد و تقریبا از بیشتر نقاط شهر می‌توانید آن را ببینید. این قلعه یکی از جاذبه‌های تاریخی نمادین لرستان است و قدمتش به دوران ساسانیان برمی‌گردد. فلک الافلاک در طول تاریخ، محل استقرار حاکمان ساسانی، آل‌بویه، صفویه و قاجار بوده است. در بازدید از این قلعه دو حیاط، ۱۲ برج و تزئیناتی از آجرکاری، گچ‌بری و کاشی‌کاری را می‌بینید که همگی مهر تاییدی بر معماری خاص آن می‌زنند. همچنین چاه عمیقی که در حیاط قلعه می‌بینید، یکی از بخش‌های جذاب آن به شمار می‌رود. داخل قلعه هم موزه مردم‌شناسی و باستان‌شناسی لرستان قرار دارد که آثار ارزشمندی از تاریخ، فرهنگ و آداب‌ورسوم مردم این منطقه را به نمایش می‌گذارد.
آدرس: لرستان، خرم‌آباد، خیابان امام خمینی، قلعه فلک‌ الافلاک
ساعت بازدید: هر روز از ۹ صبح تا ۲۰
لوکیشن قلعه فلک الافلاک روی نقشه",https://www.eghamat24.com/blog/wp-content/uploads/2026/05/Falak-ol-Aflak-Castle.webp,images/image_9.webp
دریاچه کیو,"دریاچه کیو با آب تیره و کبودش یکی از معروف‌ترین جاذبه های گردشگری لرستان به حساب می‌آید؛ جایی که اسمش را هم از همین رنگ خاص گرفته است. در گویش لری، کیو به معنای کبود و تیره است. وجود گیاهان خاص در کف این دریاچه باعث شده تا آب رنگی و متفاوتی داشته باشد. آب دریاچه طبیعی کیو از چشمه‌های اطراف و کف دریاچه تغذیه می‌شود و فضای سرسبز آن، کیو را به یکی از محبوب‌ترین جاهای دیدنی تفریحی لرستان خرم‌آباد تبدیل کرده است. قایق‌سواری، پیاده‌روی کنار آب، دوچرخه‌سواری و تماشای پرندگان مهاجر از جمله تجربه‌هایی‌ست که می‌توانید در این دریاچه داشته‌ باشید.
آدرس: خرم‌آباد، میدان کیو، بلوار زیباکنار
ساعت بازدید: شبانه‌روزی
هزینه ورودی: ‌ رایگان
لوکیشن دریاچه کیو روی نقشه",https://www.eghamat24.com/blog/wp-content/uploads/2026/05/Kew-Lake.webp,images/image_10.webp
