title,text,image_url,image_file
جاذبه‌ های تاریخی کیش | از شهر کاریز تا کشتی یونانی,در ابتدای لیست جاهای دیدنی کیش باید به سراغ جاذبه‌های تاریخی برویم. قدمت جزبره کیش را می‌توان از سواحل مرجانی، شهر ۸۰۰ ساله حریره و قنات کاریز حدس زد. این شهر در زمان هخامنشیان مرکز صید مروارید بوده و به دلیل موقعیت استراتژیکش همواره مورد توجه قرار می‌گرفت. تماشای اماکن تاریخی کیش این فرصت را برای گردشگران به وجود می‌آورد تا بیشتر با تاریخ و گذشته این جزیره مرجانی آشنا شوند. در ادامه جاذبه های تاریخی کیش را معرفی خواهیم کرد.,,
شهر زیرزمینی کاریز کیش,"یکی از مکان های دیدنی کیش شهرزیرزمینی کاریز است. آب از گذشته تا به حال منبعی با ارزش و کمیاب در بسیاری از مناطق مختلف ایران بوده، به همین دلیل در بسیاری از مناطق خشک، ایرانیان باستان برای ذخیره و نگهداری آب‌های زیرزمینی، سیستم قنات را ابداع کردند. شهر زیرزمینی کاریز کیش هم با قدمتی ۲۵۰۰ ساله یکی از جاهای تاریخی کیش محسوب می‌شود. هزینه بازدید از این شهر ۱۹۶هزار تومان برای هر نفر است و در هر ساعت از شبانه روز که بخواهید می‌توانید از آن دیدن کنید.
کاریز کیش با وسعتی بیش از ۱۰٫۰۰۰ متر مربع در عمق ۱۶ متری از سطح زمین قرار دارد. در سفر به کیش پیشنهاد می‌کنیم حتما از این شهر زیرزمینی بی‌نظیر دیدن کنید. قطعا قدم زدن در تونل‌های این شهر تجربه‌ای متفاوت خواهد بود. شهر زیرزمینی کاریز کیش با وجود اینکه ساختار باستانی خود را حفظ کرده، با برپایی غرفه‌های صنایع دستی، قهوه‌خانه‌ای سنتی، رستوران و گالری‌های هنری ، ویژگی های دنیای مدرن را هم در خود جا داده است.
آدرس شهر زیرزمینی کاریز کیش روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2023/11/%D8%B4%D9%87%D8%B1-%D8%B2%DB%8C%D8%B1%D8%B2%D9%85%DB%8C%D9%86%DB%8C-%DA%A9%D8%A7%D8%B1%DB%8C%D8%B2-%DA%A9%DB%8C%D8%B4.jpg,images/image_2.jpg
کشتی یونانی کیش | مهمان ناخوانده جزیره,"کشتی یونانی کیش ۵۴ سال پیش در نزدیکی سواحل این جزیره به گل نشسته است. این کشتی باربری یونانی اکنون به یکی از مهم‌ترین جاهای دیدنی جزیره کیش تبدیل شده است. این کشتی ۱۳۶ متری، در سال ۱۳۴۵ هنگام بازگشت به یونان به گل نشست و علی رغم تمامی تلاش‌ها برای نجاتش، برای همیشه در جزیره کیش ماندگار شد. هر روز صدها نفر از گردشگران هنگام عصر در کنار ساحل جمع می‌شوند تا به تماشای غروب زیبای آفتاب در کنار این کشتی به گل نشسته، بنشینند. باید بدانید که کشتی یونانی در حال حاضر وضعیت خوبی ندارد و درحال نابودی است.
آدرس کشتی یونانی روی نقشه",https://www.flytoday.ir/blog/wp-content/uploads/2023/11/%DA%A9%D8%B4%D8%AA%DB%8C-%DB%8C%D9%88%D9%86%D8%A7%D9%86%DB%8C-%DA%A9%DB%8C%D8%B4.jpg,images/image_3.jpg
مجموعه درخت سبز | درخت خوش یمنی در کیش,"درخت سبز یکی دیگر از جاهای دیدنی و گردشگری کیش است که در بخش شمالی این جزیره واقع شد. پارک درخت سبز به دره پرتغالی‌ها نیز معروف است. مجموعه درخت سبز اطراف قدیمی‌ترین درخت کیش ساخته شده که گفته می‌شود قدمت این درخت مربوط به ۶۰۰ سال پیش است. بسیاری این درخت را به فال نیک می‌گیرند و اعتقاد دارند که این درخت کهنسال برایشان خوش یمن است.
این مجموعه با آلاچیق‌های زیبا، فضای همیشه سبز و گل‌های رنگارنگ، جذابیت بسیاری برای گردشگران دارد. علاوه بر این، مجموعه درخت سبز کیش در کنار دو جاذبه دیگر این جزیره به نام های شهر باستانی حریره و مخزن آب دوقلو واقع شده و با رفتن به این منطقه در حقیقت می‌توانید از سه جاذبه گردشگری کیش به صورت رایگان و همزمان دیدن کنید.
آدرس مجموعه درخت سبز کیش روی نقشه",https://www.flytoday.ir/blog/wp-content/uploads/2023/11/%D9%85%D8%AC%D9%85%D9%88%D8%B9%D9%87-%D8%AF%D8%B1%D8%AE%D8%AA-%D8%B3%D8%A8%D8%B2-%DA%A9%DB%8C%D8%B4.jpg,images/image_4.jpg
شهر باستانی حریره کیش | مروری بر تاریخ جزیره کیش,"از دیگر مکان‌های دیدنی کیش، می‌توان به شهر باستانی حریره اشاره کرد. گفته می‌شود این شهر باستانی همان جایی است که سعدی شاعر بلند آوازه کشورمان در اثر معروف خود، گلستان، از آن سخن گفته است. شهر باستانی حریره در قسمت شمالی این جزیره واقع شده و وسعتی حدود ۱۲۰ هکتار دارد. ویرانه‌های به جای مانده از این شهر باستانی حاکی از رونق آن در زمان‌های دور دارد. بازدید از شهر حریره برای همه گردشگران رایگان است.
آدرس شهر باستانی حریره کیش روی نقشه",https://www.flytoday.ir/blog/wp-content/uploads/2023/11/%D8%B4%D9%87%D8%B1-%D8%A8%D8%A7%D8%B3%D8%AA%D8%A7%D9%86%DB%8C-%D8%AD%D8%B1%DB%8C%D8%B1%D9%87-%DA%A9%DB%8C%D8%B4.jpg,images/image_5.jpg
مخزن آب دوقلو کیش | بنایی الهام گرفته شده از یزد,"مخزن آب دوقلو کیش یکی دیگر از جاذبه های گردشگری کیش به حساب می‌آید که در نزدیکی شهر باستانی حریره و مجموعه درخت سبز قرار دارد. این مخزن دوقلو بر روی بقایای مخزن آبی باستانی بنا شده که پنج بادگیر آن با الهام از بادگیرهای یزد طراحی شده است. از این مخزن برای تهویه طبیعی هوا و خنک نگه داشتن آب و موادغذایی استفاده می‌شد. برای دیدن از این آب انبار تاریخی نیازی به پرداخت هزینه نیست.
آدرس مخزن آب دوقلو کیش روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2023/11/%D9%85%D8%AE%D8%B2%D9%86-%D8%A2%D8%A8-%D8%AF%D9%88%D9%82%D9%84%D9%88-%DA%A9%DB%8C%D8%B4.jpg,images/image_6.jpg
روستا باغو | تماشای تاریخ جزیره,"بافت قدیمی جزیره کیش را می‌توان در روستا باغو تماشا کرد. قدمت این روستا به سال ۹۸۱ هجری قمری باز می‌گردد. هنگام بازدید از روستا باغو می‌توانید از موزه مردم شناسی کیش که به عنوان یکی دیگر از دیدنی‌های جزیره شناخته می‌شود و متعلق به یک تاجر مروارید بوده و سبک و سیاقی قدیمی و محلی دارد، هم بازدید کنید.
آدرس روستا باغو روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2023/11/%D8%B1%D9%88%D8%B3%D8%AA%D8%A7-%D8%A8%D8%A7%D8%BA%D9%88.jpg,images/image_7.jpg
پایاب کیش | آشنایی با دنیای زیرزمینی,"پایاب کیش، که قدمت آن به حدود ۲۰۰۰ تا ۲۵۰۰ سال پیش بازمی‌گردد، در واقع دهلیز و راهرویی پلکانی با شیبی تند است که در کنار دهانه چاه قنات حفر می‌شده و مردم را به سطح آب جاری در عمق زیرزمین هدایت می‌کرد تا آب آشامیدنی و کشاورزی تامین شود. این سازه تاریخی که یکی از قدیمی‌ترین جاذبه‌ های کیش است، در مجاورت مجموعه درخت سبز کیش قرار دارد.
در روزهای گرم سال به دلیل عمق زیاد (حدود ۱۶ متر)، هوایی بسیار مطبوع و خنک داشته که در گذشته کارکردی شبیه به کولر امروزی داشته و عاملی برای حفظ کیفیت آب شیرین قنات بوده است. امروزه، این پایاب باستانی که در سال‌های اخیر بازسازی و زیباسازی شده، به یک مقصد گردشگری محبوب تبدیل شده و امکاناتی نظیر رستوران سنتی، چایخانه و موزه خلیج فارس در محوطه اطراف آن برای بازدیدکنندگان فراهم شده است تا در کنار تماشای این شاهکار مهندسی آبی ایران باستان، بتوانند ساعاتی را در محیطی دلنشین سپری کنند.
آدرس پایاب کیش روی نقشه",https://www.flytoday.ir/blog/wp-content/uploads/2024/12/%D9%BE%D8%A7%DB%8C%D8%A7%D8%A8-%DA%A9%DB%8C%D8%B4.jpg,images/image_8.jpg
آب انبار دو قلو کیش | نمونه برجسته معماری کویر,"آب‌انبار دوقلو کیش، که با نام آب‌انبار پنج بادگیر نیز شناخته می‌شود، نمونه‌ای برجسته از معماری سنتی کویری ایران در یک اقلیم گرم و مرطوب است که در سال ۱۳۷۲ خورشیدی (بر روی پایه‌های یک آب‌انبار قدیمی) در شمال جزیره کیش و نزدیک به شهر تاریخی حریره و مجموعه درخت سبز ساخته شد.
هدف اصلی از ساخت این سازه دوقلو با دو گنبد و پنج بادگیر، جمع‌آوری آب‌های سطحی و خنک نگه داشتن آب شیرین در هوای گرم جزیره بود. اگرچه با ورود دستگاه‌های آب شیرین‌کن کاربری اصلی خود را از دست داده است، اما اکنون به عنوان یک جاذبه گردشگری در کیش شناخته می‌شود.
آدرس آب انبار دوقلو کیش روی نقشه",https://www.flytoday.ir/blog/wp-content/uploads/2024/12/%D8%A2%D8%A8_%D8%A7%D9%86%D8%A8%D8%A7%D8%B1-%D8%AF%D9%88%D9%82%D9%84%D9%88.jpg,images/image_9.jpg
قلعه جنی کیش | رازآلودترین جاذبه کیش,"قلعه جنی کیش یکی از جاذبه‌های رازآلود و ماجراجویانه در غرب جزیره کیش است. این جاذبه در نزدیکی کشتی یونانی و در جاده جهان قرار دارد. این بنای کوچک و متروکه در گذشته به عنوان پاسگاه هنگ مرزی استفاده می‌شد، اما پس از مرگ مشکوک چند سرباز در دهه چهل شمسی و انتشار شایعاتی مبنی بر تسخیر شدن آن توسط اجنه و ارواح، تخلیه و متروکه شد.
بومیان کیش هنوز هم اعتقاد دارند که این قلعه نفرین شده است و از نزدیک شدن به آن، به ویژه پس از غروب آفتاب، خودداری می‌کنند. بازدید از این قلعه دو طبقه که با دو برج بزرگ، فضای وهم‌آلودی را ایجاد کرده، برای گردشگرانی که به داستان‌های ماوراءالطبیعه و فضاهای مرموز علاقه دارند، یک تجربه هیجان‌انگیز به شمار می‌آید.
اگر قصد بازدید از این مکان را دارید، به دلیل نبود امکانات رفاهی و موقعیت دورافتاده، بهتر است در طول روز و با وسایل نقلیه شخصی یا تاکسی به آنجا بروید و احتیاط‌های لازم را به عمل آورید.
آدرس قلعه جنی روی نقشه",https://www.flytoday.ir/blog/wp-content/uploads/2024/12/%D9%82%D9%84%D8%B9%D9%87-%D8%AC%D9%86%DB%8C-%DA%A9%DB%8C%D8%B4.jpg,images/image_10.jpg
