title,text,image_url,image_file
پادکست جاهای دیدنی همدان,By فائزه سلطانی,,
مکان های تاریخی همدان,حتما این سوال برای شما پیش آمده است که همدان چه جاهای دیدنی دارد . در ادامه برخی از مکان های تاریخی همدان را معرفی می‌کنیم.,,
میدان امام خمینی,"میدان امام خمینی یکی از مهم‌ترین و قدیمی‌ترین جاهای دیدنی همدان و تاریخی همدان است که نقش مهمی در ارتباط خیابان‌های اصلی دارد. این میدان، نزدیک به ۹۰ سال پیش با طراحی یک معمار آلمانی ساخته شد و به خوبی معماری ایرانی و اروپایی را به نمایش می‌گذارد.
موقعیت مرکزی میدان امام خمینی باعث شده تا به راحتی بتوانید از اینجا به سایر جاذبه‌های شهر، مانند هگمتانه، آرامگاه بوعلی سینا و بازار سنتی همدان دسترسی داشته باشید.
یکی از جذابیت‌های این میدان، ویترین باستانی آن است که برخی آثار کشف‌شده از همین منطقه در آن به نمایش درآمده‌اند. اگر در لیست جاهای دیدنی همدان به دنبال بهترین مکان می‌گردید، بازدید از این میدان را از دست ندهید.
ساعت کاری: ۲۴ ساعته
قیمت بلیط: رایگان
آدرس: مرکز شهر همدان",https://www.eghamat24.com/blog/wp-content/uploads/2025/04/Imam-Khomeini-Square.webp,images/image_3.webp
بازار تاریخی همدان یا سبزه میدان,"اگر می‌خواهید حال‌وهوای سنتی همدان را از نزدیک ببینید، بازار تاریخی این شهر، معروف به سبزه میدان، یکی از بهترین مکان های دیدنی و تاریخی همدان است. این بازار قدیمی، که از خیابان‌های اکباتان و باباطاهر عبور می‌کند، یکی از جذاب‌ترین بخش‌های شهر است.
در اینجا می‌توانید از راسته‌های مختلف، مانند فرش‌فروشان، پارچه‌فروشان و ادویه‌فروشان دیدن کنید و با صنایع‌دستی و سوغات همدان آشنا شوید. کاروان‌سرای شریفیه یکی از معروف‌ترین بناهای این مجموعه است که قدمت آن به سال‌های دور بازمی‌گردد.
ساعت کاری: کل روز باز است.
قیمت بلیط: رایگان
آدرس: میدان امام خمینی، خیابان باباطاهر",https://www.eghamat24.com/blog/wp-content/uploads/2025/04/Hamedan-Grand-Bazaar.webp,images/image_4.webp
میدان شیر سنگی همدان,"در بین جاهای دیدنی شهر همدان ، میدان شیر سنگی یکی از مکان‌هایی است که قدمت زیادی دارد. این میدان در مرکز خود یک مجسمه‌ی سنگی دارد که مردم محلی آن را سنگ شیر می‌نامند. این مجسمه حدود دو هزار سال قدمت دارد و به دلیل گذر زمان، بخش زیادی از جزئیات آن از بین رفته است.
درباره‌ی این مجسمه داستان‌های مختلفی گفته شده است. بعضی‌ها معتقدند که این شیر را سلیمان نبی ساخته است، اما مورخان بیشتر آن را به دوره‌ی سلوکیان و اشکانیان نسبت می‌دهند. برخی هم می‌گویند اسکندر مقدونی این مجسمه را به یاد یکی از سردارانش ساخته است.
ساعت کاری: ۲۴ ساعته
قیمت بلیط: رایگان
آدرس: بلوار طالقانی، خیابان ابن‌سینا",https://www.eghamat24.com/blog/wp-content/uploads/2025/04/Stone-lion-statue.webp,images/image_5.webp
حمام قلعه,"در میان مکان های دیدنی در همدان ، حمام قلعه یکی از بناهای تاریخی جذاب این شهر است. این حمام که از دوران قاجار به‌جا مانده، امروزه به یک سفره‌خانه سنتی تبدیل شده است و در نزدیکی بازار همدان قرار دارد.
معماری این حمام مانند بسیاری از حمام‌های قدیمی، دارای طاق‌های آجری، نورگیرهای زیبا و ستون‌های سنگی است که گنبدهای آن را نگه داشته‌اند. فضای داخلی آن نیز با مجسمه‌هایی تزئین شده که سبک زندگی مردم در گذشته را نشان می‌دهند.
مساحت حمام قلعه حدود ۱۵۰۰ متر مربع است. این بنا در سال ۱۳۸۰ مرمت شد و پس از ۸ سال بازسازی، به شکل امروزی درآمد. حالا گردشگران علاوه بر بازدید از معماری قدیمی، می‌توانند در سفره‌خانه این مجموعه غذاهای سنتی همدان را امتحان کنند.
شماره تلفن: ۰۸۱۳۲۵۱۱۱۹۹
ساعت کاری: از ۱۱ تا ۴  عصر – ۶ تا ۱۱ شب
قیمت بلیط: رایگان
آدرس: میدان امام‌خمینی، خیابان شریعتی، کوچه مهر",https://www.eghamat24.com/blog/wp-content/uploads/2025/04/Hamam-e-Qaleh.webp,images/image_6.webp
باغ موزه نظری همدان یا موزه مردم شناسی همدان,"باغ موزه نظری همدان، که به موزه مردم‌شناسی همدان نیز معروف است، یک مجموعه تاریخی زیبا است که از یک باغ و یک ساختمان تشکیل شده است. این مجموعه به اواخر دوره قاجار برمی‌گردد و هم‌اکنون تحت مالکیت سازمان میراث فرهنگی همدان قرار دارد.
یکی از ویژگی‌های جذاب این مجموعه، فضای سبز گسترده باغ به مساحت ۸ هزار متر مربع و کوشک باشکوه آن است که چشم هر بازدیدکننده‌ای را به خود جلب می‌کند. اگر به دنبال مکان های دیدنی همدان هستید، بازدید از این باغ موزه پیشنهاد خوبی است تا علاوه‌بر مشاهده آثار فرهنگی، از فضای دلنشین باغ نیز لذت ببرید.
شماره تلفن: دردسترس نیست
ساعت کاری: ۹ صبح تا ۵ بعدازظهر
قیمت بلیط: رایگان
آدرس: خیابان عارف قزوینی",https://www.eghamat24.com/blog/wp-content/uploads/2025/04/Nazari-Garden-Museum-of-Hamadan.webp,images/image_7.webp
موزه مفاخر و مشاهیر همدان,"موزه مفاخر و مشاهیر یکی از دیدنی های همدان است که در یک خانه قدیمی قرار دارد. این خانه متعلق به بیژن، نقاش معروف همدانی است که در دوران قاجار و پهلوی زندگی می‌کرد. در این موزه، شما می‌توانید آثار و تندیس‌هایی از مشاهیر همدان را مشاهده کنید.
در طبقه دوم، تندیس‌ها و توضیحاتی درباره افراد برجسته‌ای که از این دیار آمده‌اند، به نمایش گذاشته شده است. بازدید از این موزه، در کمتر از یک ساعت شما را با شخصیت‌های بزرگ تاریخ همدان آشنا می‌کند.
اگر به دنبال جاهای معروف همدان هستید، موزه مفاخر و مشاهیر انتخاب مناسبی است، به‌ویژه اگر در ایام نوروز به همدان سفر کنید، چون این موزه در این ایام باز است.
شماره تلفن: دردسترس نیست
ساعت کاری: ۸ صبح تا ۸ شب
قیمت بلیط: ۳۰ هزار تومان
آدرس: میدان امام‌خمینی، خیابان شریعتی، بالاتر از خیابان کبابیان، ساختمان عکاسی حجاب",https://www.eghamat24.com/blog/wp-content/uploads/2025/04/Hamedan-Celebrities-Museum.webp,images/image_8.webp
باغ موزه دفاع مقدس همدان,"باغ موزه دفاع مقدس یکی از مهم‌ترین جاهای دیدنی و معروف همدان است که در یک منطقه خوش‌آب‌وهوا و در محل یک بیمارستان جنگی ساخته شده است. این موزه به مساحت ۶.۵ هکتار شامل دو بخش سرپوشیده و روباز است. وقتی وارد فضای روباز می‌شوید، با ماکت‌ها و نمونه‌های واقعی از جنگنده‌ها، موشک‌ها و ماشین‌های جنگی روبه‌رو می‌شوید. همچنین در این بخش، مجسمه‌های مختلفی از شهدای همدان قرار دارد.
در بخش سرپوشیده، بخش‌هایی طراحی شده که صحنه‌های مختلف جنگ را نمایش می‌دهد. این بخش شامل خاکریزها، میدان‌های نبرد، فعالیت‌های رزمندگان و یادگاری‌هایی از شهدا است که شما را با وقایع جنگ آشنا می‌کند.
شماره تلفن: ۰۸۱۳۸۳۸۱۰۱۰
ساعت کاری: ۸:۳۰ صبح تا ۱۲ ظهر و ۳:۳۰ عصر تا ۷:۰۰ شب
قیمت بلیط: ۲۰ هزار تومان
آدرس: جنوب‌غربی همدان، میدان قائم، ابتدای بلوار کولاب",https://www.eghamat24.com/blog/wp-content/uploads/2025/04/Holy-Defence-Garden-Museum.webp,images/image_9.webp
موزه تاریخ طبیعی همدان,"موزه تاریخ طبیعی یکی از بهترین دیدنی های همدان است که در سال ۱۳۵۷ تاسیس شد و به مرور زمان گسترش یافت تا امروز به مساحت ۲ هزار متر مربع برسد. موزه تاریخ طبیعی همدان شامل نمایشگاه‌هایی است که مجموعه‌ای از گیاهان، تاکسیدرمی جانوران، سنگ‌واره‌ها و دیگر نمونه‌های طبیعی را در شش سالن مختلف به نمایش گذاشته است.
سالن‌های موزه شامل بخش‌های متنوعی مانند صدف‌ها و مرجان‌ها، پستانداران و پرندگان، آبزیان، زمین‌شناسی و پروانه‌ها و حشرات هستند. این موزه، با تلاش متخصصان و دانشجویان، توانسته مجموعه‌ای کم‌نظیر از آثار طبیعی را گردآوری کند که بازدید از آن تجربه‌ای آموزشی و جذاب خواهد بود.
شماره تلفن: ۰۸۱۳۱۴۰۱۴۴۴
ساعت کاری: ۹ صبح تا ۶:۰۰ عصر
قیمت بلیط: ۵۰ هزار تومان
آدرس: میدان مدرس، انتهای بلوار آزادگان، ابتدای جاده حیدره",https://www.eghamat24.com/blog/wp-content/uploads/2025/04/Natural-History-Museum.webp,images/image_10.webp
تپه هگمتانه,"تپه هگمتانه یکی از اصلی‌ترین دیدنی های همدان ایران است که قدمت سه هزار ساله دارد. در این مجموعه، شما علاوه‌بر آثار باستانی، می‌توانید کلیسای تاریخی گریگوری را هم ببینید که در کنار دیگر جاذبه‌ها قرار دارد.
هنگام بازدید از تپه هگمتانه، ابتدا با قسمتی از سازه‌های مادها روبه‌رو می‌شوید که احتمالا مربوط به یک بازار باستانی است. پس از آن، به موزه تپه هگمتانه وارد می‌شوید که در آن، ادوات جنگی باستانی، ظروف سفالی، قبرهای دوره اشکانیان و حتی دست‌نوشته‌هایی از تورات به نمایش گذاشته شده است. همچنین در فضای بیرونی موزه، کتیبه‌ها و سنگ‌قبرهای فراوانی وجود دارد.
شماره تلفن موزه هگمتانه: ۰۸۱۳۲۵۲۴۰۰۵
ساعت کاری: ۹ صبح تا ۶:۳۰ شب
قیمت بلیط: ۳۰ هزار تومان
آدرس: میدان اکباتان همدان",https://www.eghamat24.com/blog/wp-content/uploads/2025/04/Ecbatana.webp,images/image_11.webp
