title,text,image_url,image_file
جاذبه های جهانی یزد | ثبت شده در فهرست یونسکو,شهر تاریخی یزد، جاذبه‌های زیادی را در خود جای داده است، اما نام برخی از آنها در فهرست میراث جهانی یونسکو به چشم می‌خورد که در ادامه اطلاعات بیشتری در اختیارتان قرار می‌دهیم. همچنین، جاهای تفریحی یزد با آدرس را به شما معرفی خواهیم کرد.,,
باغ دولت آباد یزد | دیدنی ترین جاذبه شهر یزد,"اگر قرار باشد مهمترین جاهای دیدنی یزد را معرفی کنیم، حتما باید به سراغ باغ دولت آباد برویم؛ یکی از ۹ باغ ایرانی با ساختار و طراحی منحصربه‌فرد که در فهرست میراث جهانی یونسکو قرار دارد. باغ دولت آباد، پربازدیدترین جاذبه گردشگری یزد، در سال ۱۱۶۰ هجری قمری در اواخر دوره افشاریه ساخته شد. محمدتقی خان (ملقب به بزرگ خان) حاکم یزد، در آن زمان ابتدا قناتی با نام دولت‌آباد ساخت و از آب این قنات باغی زیبا ایجاد کرد. این باغ در دوران زندیه اهمیت زیادی یافت و افرادی مانند شاهرخ میرزا و کریم خان زند در آن اقامت کردند.
باغ دولت آباد به عنوان یکی از زیباترین باغ‌های ایرانی و البته از بهترین جاهای دیدنی یزد شناخته می‌شود و وسعت آن به بیش از ۶ هکتار می‌رسد. این باغ سه عمارت به نام‌های هشتی، طنبی و عمارت سردر دارد و علاوه بر عمارت‌ها و بناهای اصلی، بخش‌های فرعی دیگری مانند شربت‌خانه، آشپزخانه و… نیز در باغ دیده می‌شوند. قنات باغ دولت آباد طولانی‌ترین قنات یزد است و قدمتی ۲۰۰ ساله دارد.
از ویژگی های برجسته معماری باغ دولت آباد می‌توان به بادگیر مرتفع آن اشاره کرد که با ۳۳٫۸ متر ارتفاع، بلندترین بادگیر جهان است. بیهوده نیست که یزد را شهر بادگیرها می‌نامند. این بادگیر هشت ضلعی حیرت‌انگیز طوری طراحی شده تا باد در هر جهتی که می‌وزد به راحتی به داخل ساختمان هدایت شود. به این ترتیب بخش‌های زیرین بادگیر مانند شاه نشین و تالارها خنک می‌مانند. این باغ از بهترین جاهای دیدنی یزد در عید نوروز نیز محسوب می‌شود.
ساعات بازدید: ۰۸:۰۰ تا ۲۲:۳۰ هزینه ورودی : ۵ هزار تومان آدرس: یزد، خیابان شهید رجایی، محله چهار منار، کوچه فردوسی
آدرس باغ دولت آباد در گوگل مپ",https://www.flytoday.ir/blog/wp-content/uploads/2024/02/%D8%AC%D8%A7%D9%87%D8%A7%DB%8C-%D8%AF%DB%8C%D8%AF%D9%86%DB%8C-%DB%8C%D8%B2%D8%AF-11.jpg,images/image_2.jpg
قنات زارچ یزد | از جاذبه های ثبت شده در یونسکو,"قنات باغ زارچ یکی دیگر از جاذبه های جهانی شهر یزد است که در یونسکو به عنوان یکی از قنات‌های ایرانی ثبت جهانی شد. با ۳ هزار سال قدمت و ۸۰ کیلومتر طول و ۲٫۱۱۵ حلقه چاه، قنات زارچ لقب طولانی ترین قنات دنیا را به خود اختصاص داد. مطالعات نشان می‌دهد که ساخت این قنات به دوران ساسانی و پیش از اسلام بازمی‌گردد. این قنات سه تونل زیرزمینی مجزا به نام «شور، شیرین و ابراهیم خویدکی» دارد. قنات باغ زارچ از زیباترین و عجیب ترین جاهای دیدنی یزد است.
مبدا قنات روستای فهرج است و از بخش‌های مختلف شهر مانند میدان امیر چقماق می‌گذرد. آب قنات از مسجد جامع عبور می‌کند و با خروج از یزد به بخش زارچ می‌رسد. علاقمندان می‌توانند با توجه به اقدامات انجام شده، از این مکان دیدنی یزد بازدید کنند.
آ درس: یزد، خیابان سید گلسرخ، محله کوشک نو
آدرس قنات زارچ در گوگل مپ",https://www.flytoday.ir/blog/wp-content/uploads/2024/02/%D8%AC%D8%A7%D9%87%D8%A7%DB%8C-%D8%AF%DB%8C%D8%AF%D9%86%DB%8C-%DB%8C%D8%B2%D8%AF-21.jpg,images/image_3.jpg
ساباط های یزد | گذرگاه های خنک و زیبا,هنگامی که در کوچه‌های یزد در حال قدم زدن هستید، ممکن است با طاقی‌هایی روبرو شوید که دیوار دو سمت کوچه را به یکدیگر متصل کرده‌اند. این طاقی‌ها گاهی کوچک بوده و گاهی تمام کوچه را مسقف کرده‌اند. هنگامی که از زیر این سقف‌ها می‌گذرید، در واقع در حال عبور از میان ساباط های یزد هستید. این پدیده‌ها را تنها می‌توان در برخی از شهرهای کویری پیدا کرد. کاربرد این تکنیک معماری، مهیا کردن محیطی به دور از گرمای کویر برای عبور و مرور رهگذران بوده است. ساباط های این شهر از جاهای دیدنی یزد محسوب می‌شود.,,
میدان های معروف یزد | از امیرچخماق تا نقطه وسط ایران!,میدان های یزد بخشی از تاریخ و هویت این شهر و البته از جاهای دیدنی یزد هستند؛ از میدان بزرگ امیرچخماق با آثار تاریخی‌اش تا میدان مشهور مارکار که نقطه مرکزی ایران است. سعی کنید در سفر به یزد بازدید از این میدان‌ها را از دست ندهید.,,
میدان امیر چخماق | نماد شهر یزد,"بدون شک میدان امیرچخماق یزد را می‌توان نمادین‌ترین مکان دیدنی و از معروف ترین جاذبه های گردشگری یزد یه شمار آورد. اگر دوست دارید ابتدای سفر خود از جاهای دیدنی یزد، بازدید کنید، این میدان بهترین گزینه است. این مکان به عنوان میدان اصلی و تاریخی شهر یزد شناخته می‌شود و نامش در فهرست میراث ملی ایران قرار دارد. در این میدان بزرگ که دست کمی از میدان نقش جهان اصفهان هم ندارد، جاهای دیدنی میدان امیرچخماق یزد شامل بازار، تکیه، مسجد و آب انبار امیر چخماق هستند.
تکیه امیرچخماق یک تکیه معروف در این میدان است که یک حوض بزرگ با فواره و چندین مجسمه روبه‌روی آن قرار دارد. نخل امیر چخماق نیز که از تنه‌ چوب ساخته شده، به عنوان یکی از بزرگترین نمادهای شهر، در مراسم نخل‌گردانی محرم توسط اهالی چرخانده می‌شود.
از دیگر جاذبه‌های این میدان می‌توان به مسجد امیرچخماق از مساجد معروف یزد اشاره کرد که در ضلع جنوبی میدان قرار دارد. یک کاروانسرا هم در بخش شمالی میدان و همچنین حمام و کاروانسرای بافتی‌ها در غرب تکیه امیر چخماق جای گرفته‌اند. به طور کلی مجموعه امیر چخماق جزو بهترین جاهای دیدنی یزد در بهار محسوب می‌شود.
بهترین مسیر دسترسی به میدان و مجموعه تاریخی امیرچخماق، انتخاب روشی است که می‌خواهید با آن با این مکان بروید. خودرو شخصی، تاکسی یا اتوبوس هر کدام را انتخاب کنید، می‌توانید به راحتی مسیر دسترسی را از آدرس یاب‌های اینترنتی پیدا کنید. اگر با اتوبوس به این مجموعه بروید با خط اتوبوس دروازه قرآن، پایانه شهدای محراب یا خط  چهارراه بعثت، راه آهن بروید.
آدرس: یزد، خیابان امام خمینی (ره)، میدان امیر چخماق
آدرس میدان امیرچخماق در گوگل مپ",https://www.flytoday.ir/blog/wp-content/uploads/2024/02/%D8%AC%D8%A7%D9%87%D8%A7%DB%8C-%D8%AF%DB%8C%D8%AF%D9%86%DB%8C-%DB%8C%D8%B2%D8%AF-23.jpg,images/image_6.jpg
میدان ساعت یزد | قدیمی‌ ترین برج ساعت ایران,"میدان ساعت که با نام میدان وقت الساعت هم شناخته می‌شود، از بهترین جاهای دیدنی یزد است؛ اما دلیل آن چیست؟ بسیاری از شما با برج‌های مشهور ساعت در جهان آشنا هستید که بزرگترین و معروف‌ترین آنها هم برج ساعت بیگ بِن لندن است؛ اما شاید ندانید قدیمی‌ ترین برج ساعت ایران در شهر یزد و درست در میدانی با همین نام قرار دارد!
میدان ساعت یزد یک برج خشتی بلند دارد که یک ساعت در بالای آن جای گرفته است. تاریخچه این برج به زمان قاجار برمی‌گردد و تزئیناتی مانند کاشی‌کاری‌های زیبا و منقوش به آیات قرآن دارد. نمای آجری و معماری چشم‌نواز طاق و قوس این اثر‌، جلوه آن را دو چندان می‌کند.
آدرس: یزد، خیابان امام خمینی
آدرس میدان ساعت در گوگل مپ",https://www.flytoday.ir/blog/wp-content/uploads/2024/02/%D8%AC%D8%A7%D9%87%D8%A7%DB%8C-%D8%AF%DB%8C%D8%AF%D9%86%DB%8C-%DB%8C%D8%B2%D8%AF-16.jpg,images/image_7.jpg
میدان مارکار یزد | نقطه وسط ایران,"آیا می‌دانید نقطه وسط ایران کجاست؟! برج ساعت مارکار که در شهر یزد قرار دارد، مرکزی‌ترین نقطه ایران است! این برج که در میدان مارکار جای گرفته، در سال ۱۳۱۵ توسط شهرداری یزد به عنوان بنای یادبود حکیم ابوالقاسم فردوسی ساخته شد و امروزه به عنوان یکی از مهمترین جاهای دیدنی یزد به شمار می آید. روی بدنه این برج، اشعار زیبایی درباره فردوسی حکاکی شده و ساعت آن هفته‌ای یک بار کوک می‌شود. اگر بخواهید خاص ترین جاهای دیدنی یزد را بشناسید، قطعا این میدان همان جا است.
این بنا در ابتدا با نام ساعت فردوسی شناخته می‌شد؛ اما از آنجایی که سازنده آن فردی به نام «مارکار» بود، به ساعت مارکار تغییر نام داد. در حال حاضر هم این اثر را با همین نام در جهان می‌شناسند. مارکار یک زرتشتی خیر و ساکن هند بود که به جز ساخت این یادبود، یک پرورشگاه و مدرسه هم در این شهر تاسیس کرد. پیشنهاد ما به شما این است که در بازدید از این میدان به موزه مارکار هم سری بزنید.
آدرس: یزد، میدان مارکار
آدرس میدان مارکار در گوگل مپ",https://www.flytoday.ir/blog/wp-content/uploads/2024/02/%D8%AC%D8%A7%D9%87%D8%A7%DB%8C-%D8%AF%DB%8C%D8%AF%D9%86%DB%8C-%DB%8C%D8%B2%D8%AF-8.jpg,images/image_8.jpg
میدان خان یزد | به جامانده از دوره قاجار,"یکی از آثار به‌جامانده از دوره قاجار، میدان خان یزد است که بخشی از مجموعه خان به شمار می‌رود. در هر چهار طرف این میدان، حجره‌های طاق‌دار زیبا به چشم می‌خورند که به بازار خان راه دارد. مدرسه شفیعیه نیز در شمال شرقی میدان از دوره صفویه به جا مانده و علاوه بر این، بازار و حمام خان هم از جاهای دیدنی یزد در این میدان محسوب می‌شوند.
یک حوض و چندین درخت نیز در مرکز میدان خان قرار گرفته تا حال و هوایی دلنشین به این میدان شهر کویری ببخشد. بد نیست بدانید این میدان به همراه بازارهای اطرافش در سال ۱۳۶۵، در فهرست آثار ملی ایران به ثبت رسیده است.
آدرس: یزد، خیابان قیام
آدرس میدان خان یزد در گوگل مپ",https://www.flytoday.ir/blog/wp-content/uploads/2024/02/%D8%AC%D8%A7%D9%87%D8%A7%DB%8C-%D8%AF%DB%8C%D8%AF%D9%86%DB%8C-%DB%8C%D8%B2%D8%AF-12.jpg,images/image_9.jpg
حمام خان یزد | محلی برای گذراندن اوقات فراغت!,"حمام خان از دیدنی های تاریخی و البته از مهمترین جاهای دیدنی یزد به شمار می‌رود که در سال ۱۳۷۸ در فهرست آثار ملی ایران به ثبت رسید. این حمام که در سال ۱۲۱۲ هجری قمری به دستور محمدتقی خان بافقی، حاکم یزد ساخته شد، معماری بی‌نظیری دارد. جالب اینجاست با وجود اینکه این بنا نام حمام را دارد؛ اما اصلا در گذشته محل استحمام نبوده است! مردم برای گپ و گفت، عبادت و گذراندن اوقات فراغت به این حمام می‌آمدند. از آنجایی که بیشتر بزرگان از این مکان استفاده می‌کردند، نام حمام خان را به خود گرفت.
حمام خان در حال حاضر تغییر کاربری داده و به یک سفره‌خانه تبدل شده است. شما می‌توانید انواع غذاهای سنتی را در حمام خان، به عنوان یکی از بهترین رستوران های یزد امتحان کنید!
آدرس: یزد، خیابان قیام، میدان خان، جنب مسجد ملا اسماعیل
آدرس حمام خان یزد در گوگل مپ",https://www.flytoday.ir/blog/wp-content/uploads/2024/02/%D8%AC%D8%A7%D9%87%D8%A7%DB%8C-%D8%AF%DB%8C%D8%AF%D9%86%DB%8C-%DB%8C%D8%B2%D8%AF-19.jpg,images/image_10.jpg
