title,text,image_url,image_file
کاخ های معروف اصفهان | محل زندگی پادشاهان صفوی,"اصفهان در دوره‌های تاریخی مختلفی، پایتخت سلسه‌های گوناگون در ایران بوده و همین باعث شده تا کاخ‌های باشکوهی در زمان‌های مختلف در این شهر بنا شود. اما از میان آنها، سه کاخ از مکان های دیدنی اصفهان از بقیه معروف‌تر هستند و به مهمترین جاذبه های اصفهان تبدیل شده‌اند.
اگر ساکن پایتخت هستید، با خرید بلیط هواپیما تهران اصفهان یا بلیط قطار تهران اصفهان می‌توانید تنها در مدت کوتاهی خود را به قلب تاریخ ایران برسانید.
در ادامه این سه کاخ را که از بناهای تاریخی اصفهان نیز به شمار می‌روند به شما معرفی خواهیم کرد.",,
کاخ عالی قاپو اصفهان | بنایی قابل توجه در نقش جهان,"با یکی از شاهکارهای معماری ایران و یکی از معروف‌ترین جاذبه‌ های گردشگری اصفهان، یعنی کاخ عالی قاپو ، آشنا شوید. این کاخ در ضلع غربی میدان امام (نقش جهان) قرار گرفته و یکی از بناهای دوره صفویه است. کاخ عالی قاپو عضوی از مجموعه تاریخی نقش جهان محسوب می‌شود که نامش در فهرست آثار ایران در میراث جهانی یونسکو به چشم می‌خورد. این عمارت یکی از جذاب ترین جاهای دیدنی اصفهان است.
عالی قاپو، عمارتی شش طبقه‌ است و در مجموع ۳۶ متر ارتفاع دارد. گچ‌بری‌ها و نقوش میناتوری این کاخ منحصر به فرد هستند و با وجود ناملایمات روزگار، هنوز هم به قوت خود باقی مانده‌اند. از نکات قابل توجه در مورد کاخ عالی قاپو این است که از ایوان این بنا می‌توانید چشم‌انداز زیبایی را از میدان نقش جهان ببینید.
ساعات بازدید از کاخ عالی قاپو: هر روز از ساعت ۰۹:۰۰ تا ۱۶:۳۰ آدرس: اصفهان، میدان نقش جهان
آدرس کاخ عالی قاپو روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2023/01/Ali-Qapu-Palace.jpg,images/image_2.jpg
کاخ چهلستون اصفهان | مجموعه‌ای جذاب از هنر نگارگری,"کاخ چهلستون و نقاشی‌های بی‌مثالش را دیده‌اید؟ دیدن انعکاس تصویر خود در آینه‌کاری بی‌نظیر این عمارت را چطور؟ این بنای فوق‌العاده از مکان های دیدنی اصفهان است که در دوره شاه عباس اول و شاه عباس دوم صفوی در اصفهان ساخته شده و در میان باغی سرسبز و بزرگ قرار گرفته است. نقاشی‌ها، نگارگری‌ها و آینه‌کاری‌های این کاخ بسیار زیبا و دیدنی هستند و گنجینه‌ای از نسخ خطی قرن چهارم هجری قمری و آثار دوران صفوی نیز در آن قرار دارد.
باغی که کاخ چهلستون در آن قرار گرفته است، از بهترین باغ‌های ساخته شده در دوران صفویه به شمار می‌رود و یکی از ۹ باغ ایرانی ثبت شده در فهرست میراث جهانی یونسکو است. این بنا ۲۰ ستون دارد، اما به دلیل انعکاس تصاویر آنها در آب، به ۴۰ ستون تبدیل می‌شوند و به همین دلیل این کاخ زیبا به چهلستون شهرت دارد. این مکان از جاهای دیدنی اصفهان در پاییز نیز محسوب می‌شود و منظره بسیار زیبا و خیره‌کننده‌ای در این فصل دارد. شما می‌توانید نقشه مترو اصفهان را ببینید و به راحتی به این کاخ زیبا که از زیباترین جاهای دیدنی اصفهان است برسید.
ساعات بازدید از کاخ چهلستون اصفهان: هر روز از ساعت ۰۹:۰۰ تا ۱۷:۰۰ آدرس: اصفهان، میدان امام حسین، خیابان استانداری
آدرس کاخ چهلستون اصفهان روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2023/01/Chehel-Sotoon-Palace.jpg,images/image_3.jpg
کاخ هشت بهشت اصفهان | زیباترین کاخ دوره صفویه,"کاخ هشت بهشت، زیباترین کاخ جهان در دوره صفوی و تنها کوشک باقی مانده از منطقه چهار باغ اصفهان از این دوره است. این کاخ در پارکی زیبا قرار دارد و از جمله مکان‌ های دیدنی اصفهان است که نامش در فهرست آثار ملی ایران دیده می‌شود. سبک معماری کاخ هشت بهشت اصفهان با دیگر سازه‌های این شهر متفاوت است.
عمارت‌های تو در تو، تزئینات خاص و تماشایی این بنا و باغ اطراف آن باعث شد تا جهانگردانی که در دوره صفوی از این باغ دیدن کرده‌اند آن را با عبارت «فرح‌انگیزتر از مجلل‌ترین کاخ‌های ممالک اروپایی» توصیف کنند. کاخ هشت بهشت حتما یکی از مهمترین جاهای دیدنی این شهر است که در سفر به اصفهان نباید از قلم بیفتد.
ساعات بازدید از کاخ هشت بهشت: هر روز از ۰۹:۰۰ تا ۱۷:۰۰ آدرس: اصفهان، خیابان باغ گلدسته، پارک شهید رجایی
آدرس کاخ هشت بهشت روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2023/01/hasht-behesht-palace.jpg,images/image_4.jpg
میدان های معروف اصفهان | شاهکار شهرسازی صفویان,اگر از بیشتر کسانی که به اصفهان سفر کرده‌اند بخواهید که بدون فکر کردن یکی از جاهای دیدنی اصفهان را نام ببرند؛ قطعا بیشتر آنها به عنوان گزینه اول، به یکی از میادین معروف اصفهان یعنی نقش جهان اشاره خواهند کرد. اما این میدان تنها میدان معروف این شهر نیست. در ادامه، برخی از معروف ترین میدان های اصفهان را معرفی خواهیم کرد.,,
میدان نقش جهان | قلب اصفهان,"در اصفهان، تقریبا همه راه‌ها به میدان نقش جهان ، ختم می‌شوند! میدانی بزرگ با حال و هوایی تاریخی و خاص که معماری آن چشم‌های شما را به خود خیره می‌کند. این میدان یکی از خاص ترین جاهای دیدنی اصفهان محسوب می‌شود. نام میدان نقش جهان در فهرست جهانی یونسکو ثبت شده و یکی از میدان‌های بزرگ دنیا است. نقش جهان برای خودش یک دنیای کامل است. با حضور در این میدان می‌توانید خرید کنید، از کالسکه‌سواری لذت ببرید، عکس‌های زیبا بیندازید و در یکی از کافه‌های آن قهوه‌ای میل کنید. همچنین می‌توانید با رزرو هتل های اصفهان در اطراف میدان نقش جهان از این میدان زیبا بازدید کنید.
نقش جهان که امروزه به نام میدان امام هم شناخته می‌شود، مجموعه‌ای تاریخی از مکان‌ های دیدنی اصفهان است که دور تا دور آن جاذبه‌هایی همچون کاخ عالی قاپو، مسجد شیخ لطف الله، مسجد امام، سردر قیصریه، بازار قیصریه، دروازه های چوگان، توحید خانه و … قرار دارد و از جاهای دیدنی اصفهان در شب هم محسوب می‌شود و زیبایی خیره‌کننده‌ای در هر ساعت از شبانه‌روز دارد.
آدرس: اصفهان، میدان نقش جهان
آدرس میدان نقش جهان روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2023/01/naghshe-jahan-square.jpg,images/image_6.jpg
میدان عتیق اصفهان | کهنه میدان,"در نزدیکی میدان نقش جهان، میدان عتیق اصفهان یا کهنه میدان اصفهان قرار گرفته است. این میدان که حالا آن را به نام میدان امام علی اصفهان می‌شناسند؛ تاریخی غنی دارد و ظاهری نو و مدرن! میدان عتیق در دوره سلجوقیان ساخته شد و در دوران خود از رونق بسیاری برخوردار بود. با ساخت میدان نقش جهان، این میدان کم کم از رونق افتاد و امروزه تلاش‌هایی برای احیای آن انجام شده است.
میدان عتیق، معماری شبیه به میدان نقش جهان و ساختاری شبیه به ذوزنقه دارد. این مجموعه تاریخی از مکان‌ های دیدنی اصفهان در نزدیکی اماکنی همچون مقبره هارون الرشید و محله‌های جوباره، طوقچی و دردشت قرار گرفته است. اگر به دنبال جاهای دیدنی اصفهان از نوع خاص هستید، میدان عتیق را فراموش نکنید.
آدرس: اصفهان، میدان عتیق
آدرس میدان عتیق اصفهان روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2023/01/imam-ali-square.jpg,images/image_7.jpg
مساجد تاریخی اصفهان | شکوه معماری اسلامی,از میان تمام مکان‌ های دیدنی اصفهان مساجد تاریخی در اصفهان حکم تیری را دارند که دو نشان را هدف گرفته‌اند؛ هم جاذبه‌ای دیدنی و هم جایگاهی برای عبادت هستند. با شروع دوره اسلامی در ایران، مساجد بسیاری در اصفهان ساخته شدند اما پیشینه بیشتر آنها به دوران صفویان باز می‌گردد. در اینجا نگاهی داریم به مساجد اصفهان که دارای ارزش بالای تاریخی هستند.,,
مسجد امام اصفهان | الگوی مساجد ایرانی,"مسجد امام، یکی از معروف‌ترین جاهای دیدنی اصفهان و اثری با ارزش از دوره حکومت صفویان است که سالانه گردشگران ایرانی و خارجی بسیاری از آن بازدید می‌کنند. مسجد امام یا مسجد شاه اصفهان نماینده‌ای تمام عیار از هنر قرن‌ها مسجدسازی در ایران است و بسیاری از مساجد ایرانی با الگوی این مسجد، ساخته شده‌اند. این مسجد در سال ۱۳۱۰ به عنوان یکی از آثار ملی ایران به ثبت رسیده است و بخشی از مجموعه میراث جهانی نقش جهان هم به شمار می‌‍‌‌آید.
ساعات بازدید از مسجد امام: هر روز از ۰۹:۰۰ تا ۱۱:۳۰ و ۱۳:۰۰ تا ۱۶:۳۰ آدرس: اصفهان، ضلع جنوبی میدان نقش جهان
آدرس مسجد امام روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2023/01/imam-mosque-isfahan.jpg,images/image_9.jpg
مسجد شیخ لطف الله اصفهان | دارای مدورترین گنبد جهان,"مسجد شیخ لطف الله، یکی از معروف‌ترین جاذبه‌های مذهبی در ایران و البته از جاهای دیدنی اصفهان است که نزد گردشگران داخلی و خارجی، محبوبیت بسیار زیادی دارد. این مسجد، سوژه محبوب بسیاری از عکاسان است و نمای بیرونی و گنبد نخودی رنگ آن توجه هر کسی را به خود جلب می‌کند. معماری بی‌نظیر این مسجد و تزئینات و کاشی‌کاری‌های آن، بی‌بدیل است. گنبد این مسجد عنوان مدورترین گنبد جهان را دارد و یکی از زیباترین گنبدهای دنیا به شمار می‌رود.
یکی از شگفتی‌های مسجد شیخ لطف الله که آن را از دیگر جاذبه‌ های گردشگری اصفهان متمایز کرده است نبود مناره در کنار گنبد و نبود شبستان در بنای مسجد است. وجود تونل مخفی، نورپردازی با روزنه‌های گنبد و وجود پله در ورودی مسجد، از دیگر نکات قابل توجه در معماری مسجد شیخ لطف الله هستند. این بنای زیبا از جاهای دیدنی اصفهان در روز محسوب می‌شود، به این خاطر که زیبایی خیره کننده این مکان و جزئیات زیبای آن در نور روز جلوه‌ای دیگر دارد.
ساعات بازدید از مسجد شیخ لطف الله: هر روز از ۰۹:۰۰ صبح تا ۱۱:۳۰ و ۱۳:۰۰ تا ۱۶:۳۰
آدرس: اصفهان، ضلع شرقی میدان نقش جهان
آدرس مسجد شیخ لطف الله روی نقشه گوگل",,
