title,text,image_url,image_file
گشتی در جذاب‌ترین جاهای دیدنی بندرعباس,,https://cdn.alibaba.ir/ostorage/alibaba-mag/wp-content/uploads/2024/06/photo_۲۰۲۳-۱۰-۲۷_۲۲-۳۶-۵۰-150x150.jpg,images/image_1.jpg
۱. معبد هندوها,"موقعیت جغرافیایی بندعباس باعث شد تا مهاجران و تاجران بسیاری به این شهر بیایند. در این بین سهم انگلیسی‌ها، پرتقالی‌ها و هندی‌ها از بقیه بیشتر است و می‌شود آثار این حضور را به در فرهنگ، بناها و غذاهای محلی بندرعباس مشاهده کرد.
معبد هندوها یا بت گوران یکی از بناهایی است که در حدود یک قرن قدمت دارد و با کمک مالی تجار هندی، با موافقت حاکم وقت، محمد حسن خان سعدالملک ساخته شده است. نقشه و سازه اصلی بنا چهارگوش است اما گنبد بالای آن که به سبک هندی طراحی شده؛ جلوه‌ای ویژه به آن بخشیده است. علاوه بر این، نقاشی‌های مذهبی روی دیوارها، برجک‌ها و تالار اجتماعات معبد به گونه‌ای کار شده‌اند که توجه بازدیدکنندگان را جلب کنند.
با طرح شهرداری برای عریض ساختن خیابان، محوطه بیرونی معبد بسیار کوچک شد. همچنین، سازه این جاذبه گردشگری بندرعباس چندان دقیق نگهداری نمی‌شود. در نتیجه، بازدید امروز از فردا بهتر است؛ زیرا تضمینی وجود ندارد که در آینده معبد به همین شکل در اختیار من و شما باشد.
در این مجموعه تاریخی علاوه‌بر معبد می‌توانید از غرفه صنایع دستی و کافه لیح، واقع در حیاط پشتی معبد هندوها هم بازدید کنید. بعد از بازدید از معبد هندوها، می‌توانید خیلی راحت به مراکز خرید اطراف این بندر سر بزنید و بازدیدتان را از جاهای دیدنی بندرعباس ادامه دهید.
آدرس: بلوار امام خمینی، روبه‌روی بازار روز",https://www.alibaba.ir/mag/wp-content/uploads/2022/11/bandarabas.gif,images/image_2.jpg
۲. حمام گله داری,"برخلاف آبگرم گنو، در حمام گله داری آب‌تنی نخواهید کرد؛ بلکه شاهد شاهکار دوره قاجاریه خواهید بود که برای مدت‌های طولانی تنها محل استحمام مردم خلیج فارس بوده است. در آن سال‌ها، شخصی به نام حاج شیخ احمد گله داری، حمامی می‌سازد و آن را وقف بهداشت عمومی می‌کند.
نحوه عملکرد این حمام که حالا به موزه تبدیل شده؛ فوق العاده جالب است و به همین دلیل در لیست سفر مجازی ما بین جاهای دیدنی بندرعباس قرار گرفته است. اسکلت حمام از مصالح دریایی کار شده تا در برابر رطوبت دوام بالایی داشته باشد و آب خزینه آن به طور پیوسته توسط یک راه مال‌رو از برکه و چشمه‌های اطراف تامین می‌شده است.
معماری زیبای سقف که گنبدی شکل کارشده تا علاوه بر انجام تهویه نور را به داخل هدایت کند به همراه سیستم گرمادهی که هوشمندانه گازهای سمی را به بیرون هدایت می‌کند نشان می‌دهد که پیش از ما نیز بشر به حد توان برای فراهم آوردن اوقاتی خوش تدابیری اندیشیده بوده است.
آدرس: بلوار امام خمینی، محله قلعه شاهی(اوزی‌ها)",https://cdn.alibaba.ir/ostorage/alibaba-mag/wp-content/uploads/2024/04/حمام-گله-داری.webp,images/image_3.webp
۳. مسجد جامع بندر عباس از مکان های دیدنی بندرعباس,"تفاوتی نمی‌کند که مذهبی باشیم یا نه؛ شیعه باشیم یا سنتی؛ کافی است کمی اهل دل باشیم تا حضور در عبادتگاهی تاریخی، رو به آبی بیکران اقیانوس برایمان حال و هوایی معنوی ایجاد کند و لحظه‌ای برای خلوت با خویشتن خویش بیابیم. سومین مورد از لیست دیدنی های بندرعباس یک مسجد تاریخی است که دلگشا نامیده می‌شود و برای بیش از دو سده عنوان مسجد جامع اهل سنت را یدک کشیده است.
بنای این مسجد دو طبقه بیش از ۲۰ درب دارد و با حضور در آن کاشی‌گری ظریف تاریخی چشمانتان را نوازش خواهد کرد. اگر به بندرعباس سفر کردید؛ حتما زمانی را به بازدید از این مسجد تاریخی و زیبا اختصاص دهید.
آدرس: بلوار طالقانی (بلوار ساحلی)",https://cdn.alibaba.ir/ostorage/alibaba-mag/wp-content/uploads/2024/04/image-1.webp,images/image_4.webp
۴. عمارت کلاه فرنگی,"اگر از موتورجست و جوی گوگل، یا یک ایرانشناس کارکشته درباره عمارت کلاه فرنگی بپرسید؛ حداقل سه بنا در رشت، تهران و بندرعباس را به شما معرفی می‌کند. در این نوشته اما، منظور ما عمارت کلاه فرنگی بندرعباس است. بنایی که در زمان صفویان ساخته شد و نبض تجارت جنوب را در دست داشت.
این عمارت دو طبقه که یکی از جاهای دیدنی بندر عباس است، در زمان خود ساختمان گمرک نامیده می‌شده و علاوه بر انجام کارهای اداری در طبقه دوم و انبارسازی کالا در طبقه اول، با حیاط‌های وسیع اطراف و آب انبارهای قابل توجه، امکان اسکان را برای تجار داخلی و خارجی فراهم می‌آورده است.
نام این سازه هشت ضلعی کلاه فرنگی شده زیرا شمای آن مردم را به یاد کلاه‌های اروپاییان می‌انداخته است. امروزه این بنای تاریخی در حیاط حوزه علمیه بندرعباس قرار گرفته است و امکان بازدید از داخل آن فراهم نیست. اما می‌توانید از دور نمای بیرونی عمارت را ببینید.
آدرس: بلوار طالقانی، پارکینگ حوزه علمیه مدرسه النبی، روبه‌روی اسکله قدیم",https://cdn.alibaba.ir/ostorage/alibaba-mag/wp-content/uploads/2024/04/image-2.webp,images/image_5.webp
۵. محله باستانی سورو,"وقتی حرف از محله‌های باستانی می‌شود فکروذهن همه در بندرعباس به یک اسم ختم می‌شود، سورو. محله باستانی سورو، قسمت غربی محله‌ای با همین اسم در بندرعباس قرار دارد. یکی از جاهای دیدنی بندرعباس که هنوز محل جمع‌آوری سکه‌های باستانی دوران صفویه، قاجار و ساسانی است. طبق نظر محققان این محل مرکز حکومت در هرمزگان محسوب می‌شود.
درواقع سورو محله‌ای باستانی بود که در آن ضرب سکه نسل‌به‌نسل انجام شده است. گذشته این منطقه بافت گیاهی خاص هم داشته است که درخت‌هایی مثل گز، کنار، کرت، گهور و خرگ را شامل می‌شود.",https://cdn.alibaba.ir/ostorage/alibaba-mag/wp-content/uploads/2024/04/محله-سورو-بندرعباس.webp,images/image_6.webp
۶. حمام بزرگ (حمام گپ) بندرعباس,"در این ایستگاه از سفر مجازی خود به جاهای دیدنی بندرعباس، سری به حمام بزرگ می‌زنیم. این حمام یادگار دوران قاجاریه است و جالب اینکه تا دهه ۵۰ میلادی به شکل زنانه و مردانه از آن استفاده می‌شده است. از آنجا که پیش از عصر پهلوی دوش و لوله کشی مرسوم نبوده است؛ در دوران سلطنت آخرین شاه ایران، بخشی از این حمام به روزرسانی شده و دوش در آن قرار می‌گیرد.
از این رو، مشاهده تبدیل یک حمام تمام سنتی به مدرن، تنها در حمام بزرگ بندرعباس ممکن می‌شود.
آدرس: بلوار امام خمینی، بلوار امام موسی صدر شمالی، خیابان خبرنگار",https://cdn.alibaba.ir/ostorage/alibaba-mag/wp-content/uploads/2024/04/حمام-گپ.webp,images/image_7.webp
۷. موزه مردم‌شناسی بندرعباس؛ سفری به دل فرهنگ هرمزگان,"اگر می‌خواهید بیشتر با تاریخ و فرهنگ هرمزگان آشنا شوید، پیشنهاد ما بازدید از موزه مردم‌شناسی خلیج فارس بندرعباس است. این موزه که با نام «موزه باستان‌شناسی و مردم‌شناسی بندرعباس» نیز شناخته می‌شود، یکی از بزرگ‌ترین موزه‌های مردم شناسی در جنوب ایران و از مکان‌های دیدنی بندرعباس است.
این موزه سه طبقه دارد و نمای بیرونی آن با معماری چشم‌نواز و الهام‌گرفته از معماری سنتی هرمزگان، در همان بدو ورود شما را به سفری جذاب در دل تاریخ و فرهنگ این منطقه دعوت می‌کند.
طبقه اول شامل بخش عمومی، کتابخانه و نمایشگاه است. اما جذابیت اصلی در طبقات دوم و سوم نهفته است، جایی که گنجینه‌ای از آثار باستانی و مردم‌شناسی هرمزگان در انتظار شماست.
طبقه دوم موزه، شما را به دنیای رنگارنگ آداب و رسوم و شیوه زندگی مردم هرمزگان می‌برد. بخش مردم شناسی موزه شامل سه بخش بازار سنتی، صیادی و آزادسازی قلعه جزیره هرمز است. از جاذبه‌های اصلی این بخش، لنج بزرگی است که نباید بازدید از آن را از دست بدهید. همچنین با بازسازی‌های هنرمندانه، می‌توانید حال‌وهوای نزدیکی از هر بخش را تجربه کنید.
بخش باستان‌شناسی در طبقه سوم موزه قرار گرفته و شامل مجموعه‌ای ارزشمند آثار دوران مختلف تاریخ است. از ظروف و تیغه‌های سفالی دوران پیش از تاریخ، زیورآلات از جنس سنگ‌های قیمتی، سر پیکان برنزی، اشیای تاریخی و فلزی دوره‌های اسلامی تا سکه‌های قدیمی در این بخش قرار گرفته‌اند.
شما می‌توانید همه روزه به‌جز دوشنبه‌ها از ساعت ۹ تا ۱۳ و از ساعت ۱۵ تا ۱۹ سری به موزه مردم شناسی بندرعباس بزنید و با خرید بلیط ورودی، از بخش‌های مختلف آن بازدید کنید.
آدرس: بندرعباس، بلوار پاسداران، نرسیده به سه‌راه هتل‌هما، جنب اداره کل فرهنگ و ارشاد اسلامی",https://cdn.alibaba.ir/ostorage/alibaba-mag/wp-content/uploads/2024/04/موزه-مردم-شناسی-بندرعباس.webp,images/image_8.webp
۸. مسجد ناصری بندرعباس,"هشتمین مورد از مکان های دیدنی بندرعباس مسجد ناصری نام دارد. چیزی در حدود صد سال پیش، علی حیدر آبادی برای ساخت مسجدی پیشگام می‌شود که بخشی از مصالح آن سوغات هند بوده و الباقی با هنر ایرانی فراهم آمده است. گنبد مسجد با اسکلت چوبی هنوز بی‌نقص و استوار باپرجاست و کاشی‌کاری‌های درونی که به شکل گُل و خط و رسم قرآنی چشم هر فردی را به خود خیره می‌سازند؛ جاذبه‌هایی غیرقابل چشم‌پوشی به نظر می‌آیند.
به خصوص اگر به معماری ایرانی در دوره‌های اسلامی علاقه دارید؛ مسجد ناصری بندرعباس شما را ناامید نمی‌کند.
آدرس: بلوار امام موسی صدر جنوبی، چهارراه بلوکی",https://cdn.alibaba.ir/ostorage/alibaba-mag/wp-content/uploads/2024/04/image-3.webp,images/image_9.webp
۹. آب انبارهای برکه‌ های باران بندرعباس,"حال نوبت ۵ آب انبار دوست داشتنی است که در جایگاه نهم، جای خود را در لیست جاهای دیدنی بندرعباس باز کنند. برکه‌های باران سازه‌هایی سنگی هستند که در ایام قدیم برای نگهداری و تامین آب شهر و کاروان‌های عبوری به کار گرفته می‌شده‌اند. اگرچه در ۱۳۵۴ هر ۵ آب انبار ثبت آثار ملی ایران شدند؛ اما امروزه نگهداری مناسبی از آن‌ها نمی‌شود و تضمینی وجود ندارد که در سالیان آتی به همین شکل باقی بمانند.
در نتیجه، اگر قصد سفر به بندرعباس را داشتید حتما برای رفتن به خیابان ۲۲ بهمن وقتی خالی کرده و از این سازه‌های دوست داشتنی بازدید کنید.",https://cdn.alibaba.ir/ostorage/alibaba-mag/wp-content/uploads/2024/04/image-4.webp,images/image_10.webp
