title,text,image_url,image_file
مشهورترین جاهای دیدنی آذربایجان شرقی,آذربایجان شرقی چه در داخل شهرهایش و چه در دل کوه و جنگل‌هایش انواع دیدنی‌ها را جای داده است. از مکان‌های تاریخی و کلیساهای متعدد تا طبیعت زیبای ارسباران و کوه و دره‌های طبیعی. در ادامه معروف‌ترین جاهای دیدنی آذربایجان شرقی را باهم بررسی می‌کنیم.,,
کلیسای سنت استپانوس,"کلیسای سنت استپانوس (استپانوس مقدس) یکی از مشهورترین، مهم‌ترین و البته زیباترین کلیساهای تاریخی ارامنه در ایران است. این کلیسا در نزدیکی مرز ایران و آذربایجان و در بخش جنوبی رودخانه ارس قرار دارد. فاصله کلیسای سنت استپانوس از شهرستان جلفا در حدود ۲۰ کیلومتر است و برای رسیدن به آن باید به سمت شمال غربی جلفا حرکت کنید و از جاده مرزی بگذرید. سنت استپانوس در منطقه‌ای کوهستانی-دره‌ای قرار گرفته است. به دلیل موقعیت خاص این کلیسا و معماری منحصر به‌فردش یکی از معروف‌ترین جاهای دیدنی آذربایجان شرقی است.
این کلیسا چندین سال است که در دست مرمت و از میراث جهانی ثبت شده در یونسکو است. در رابطه با ساخت اولیه کلیسا چندین روایت مختلف وجود دارد و دقیقا مشخص نیست اما طبق آخرین تحقیقات، ساخت کلیسا به دوره صفوی برمی‌گردد. سنت استپانوس یکی از یاران اصلی حضرت عیسی (ع) و اولین شهید در راه ابلاغ دین مسیحیت بوده است که این کلیسا با یاد این قدیس بزرگ، چنین نام گرفته است.
بخوانید از: بهترین جاهای دیدنی تبریز در تمام فصول + آدرس و معرفی کامل",https://blog.shab.ir/wp-content/uploads/2022/06/12.jpg,images/image_2.jpg
بازار تبریز,"بازار بزرگ تبریز، یکی از قدیمي‌ترین بازارهای کشور است که هنوز هم بعد از چندین سال، ظاهر سنتی خود را حفظ کرده است. همین ظاهر سنتی و ساخته‌ای که هنوز بعد از چندین سال پابرجاست، این بازار را تبدیل به یکی از مشهورترین جاهای دیدنی آذربایجان شرقی کرده است. بازار تبریز در مرکز شهر تبریز قرار دارد. بازار تبریز بزرگ‌ترین بازار سرپوشیده جهان است و از همین جهت در لیست میراث جهانی یونسکو ثبت شده است. در بازار تبریز دهانه‌ها و گذرهای مختلفی وجود دارد که بسته به نوع فعالیت نام‌گذاری شده‌اند.
برای اجاره سوئیت در تبریز کلیک کنید.
برای رسیدن به بازار بزرگ تبریز کافیست خود را به شهر تبریز برسانید و آن وقت از هرکس آدرس این بازار را بپرسید مسیر را به شما نشان می‌دهد. پیشنهاد ما این است که برای گشتن این بازار به اندازه کافی زمان بگذارید چراکه به قدری شما را شگفت‌زده می‌کند که نمی‌توانید از آن دل بکنید.",https://blog.shab.ir/wp-content/uploads/2022/06/17.jpg,images/image_3.jpg
ائل گلی,"ائل گلی یکی از معروف‌ترین جاهای دیدنی تبریز است که در بخش جنوب شرقی این شهر قرار دارد. عمارت ائل گلی در میان یک دریاچه مصنوعی قرار دارد که با درختان و پارک احاطه شده است. ائل گلی که قبل از انقلاب شاه گلی نام داشت، در زبان ترکی به معنای دریاچه مردم (دریاچه شاه قبل از انقلاب) است.
برای رسیدن به این مجموعه می‌توانید از مترو استفاده کنید و در ایستگاه مترو ائل گلی پیاده شوید یا خود را به بلوار ائل گلی برسانید.
بخوانید از: گذری به خانه های قدیمی تبریز : 17 عمارت باشکوه تاریخی",https://blog.shab.ir/wp-content/uploads/2022/06/21.jpg,images/image_4.jpg
مقبره الشعرا,"تبریز شهر شاعران و عاشقان به‌نام است. به همین خاطر تعداد زیادی از شاعران فقید سرزمین ما در این شهر و در یک محل دفن هستند. مقبره الشعرا محل آرامگاه ابدی شاعران و ادیبانی از جمله اسدی طوسی، خاقانی شروانی، شاهپور نیشابوری، لسانی شیرازی، شاعر نامی شهریار و تعداد زیادی از شاعران دیگر است. علما و افراد دیگری نیز در این محوطه آرام گرفته‌اند از جمله هفت خواهران، میرزا شفیع مستوفی، دکتر مهدی روشن ضمیر و …. طبق گفته‌های تاریخی، نزدیک به ۴۰۰ تن از بزرگان فرهنگ و علم و ادب در محوطه آرامستان دفن شده‌اند.
مقبره الشعرا در محله سرخاب تبریز قرار دارد و در گذشته به قبرستان سرخاب معروف بوده است؛ اما بعد از دفن تعدادی از شاعران در این آرامستان، نام این منطقه به مقبره الشعرا تغییر پیدا کرد و حالا یکی از جاهای دیدنی آذربایجان شرقی است. البته قبور این علما و ادیبان در سالیان طولانی تقریبا از بین رفته است و حالا تنها بنای یادبودی در این محوطه قرار دارد که شامل آرامگاه شهریار تبریزی است. برای رسیدن به مقبره الشعرا باید خود را به خیابان ثقه الاسلام و تکیه حیدر برسانید.",https://blog.shab.ir/wp-content/uploads/2022/06/18.jpg,images/image_5.jpg
رصدخانه مراغه,"رصدخانه مراغه یکی از مشهورترین جاهای دیدنی آذربایجان شرقی است. این رصدخانه که بعد از حمله مغول‌ها و به تلاش خواجه نصیرالدین طوسی، نجم‌الدین کاتبی و فخرالدین مراغه‌ای و با حمایت هلاکوخان ساخته شد،‌ تا چندین صده قبل‌تر، بزرگترین مرکز علمی جهان اسلام بود. امروزه تنها بخش‌های معدودی از این رصدخانه باقی‌مانده است.
رصدخانه مراغه روی تپه‌ای با ارتفاع ۱۱۰ متر در بخش غربی مراغه قرار گرفته است. برای رسیدن به این رصدخانه باید از بلوار پاسداران به بلوار ولیعصر برسید و سپس وارد جاده رصدخانه شوید.
بخوانید از: بهترین سوغاتی های تبریز",https://blog.shab.ir/wp-content/uploads/2022/07/dd.jpg,images/image_6.jpg
کلیسای چوپان,"کلیسای چوپان که نام دیگر آن کلیسای آندره وروتی مقدس است، یکی از کلیساهای ارمنی آذربایجان شرقی است که در غرب جلفا و در فاصله بسیار کمی از رودخانه ارس قرار دارد. ساخت کلیسای چوپان مربوط به دوره صفویه است و طبق روایت‌ها، دلیل اینکه اسم این کلیسا چوپان است این است که در آن زمان، چوپان‌های ارمنی در این محل عبادت می‌کردند و دو برادر این کلیسا و کلیسای جفت آن در آن سوی رود ارس را بنا کردند. البته متاسفانه جفت دیگر کلیسا تخریب شده است.
این کلیسا در فاصله ۷ کیلومتری غرب جلفا قرار دارد و تقریبا با ۲۰ دقیقه رانندگی می‌توانید به این کلیسای تاریخی و زیبا برسید.",https://blog.shab.ir/wp-content/uploads/2022/06/11.jpg,images/image_7.jpg
روستای کندوان,"روستای سنگی کندوان ، یکی از روستاهای خاص ایران است که در آذربایجان شرقی قرار دارد. دلیل خاص بودن این روستا، خانه‌هایی است که در دل کوه کنده شده‌اند و هنوز هم ساکنین روستا در همین خانه‌ها سکونت دارند. کندوان با داشتن آب و هوای خنک و معتدل در تابستان یکی از مقاصد اصلی سفر در تابستان است.
برای اجاره سوئیت در کندوان کلیک کنید.
کندوان در جنوب تبریز و در منطقه سهند قرار دارد. برای رسیدن به کندوان باید ابتدا خود را به تبریز و اسکو برسانید و سپس وارد مسیر کندوان شوید. راستی،‌ حواستان باشد که حتی در تابستان، حتما لباس گرم همراه داشته باشید تا در صورت سرد شدن هوا، به مشکل نخورید.",https://blog.shab.ir/wp-content/uploads/2022/06/4-1.jpg,images/image_8.jpg
مسجد کبود تبریز,"مسجد کبود تبریز که حالا در میانه شهر قرار دارد، در قرن ۹ هجری قمری ساخته شده است. نام اصلی این مسجد در زمان ساخت، عمارت مظفریه بوده است. البته زمانه خیلی با این مسجد مهربان نبود و بخش زیادی از آن در قرن‌های گذشته تخریب شده بود. دلیل اصلی تخریب اما زلزله‌ای بود که در سال ۱۱۸۵ شمسی گنبد و مناره‌های مسجد را فرو ریزاند. اما بعد از نزدیک به دو قرن و در سال ۱۳۱۸، بخش‌های تخریب شده بنا مجددا ساخته شد و تعمیر و مرمت کاشی‌کاری‌ها نیز همچنان ادامه دارد.
مسجد کبود در مرکز شهر تبریز و نزدیک به میدان ساعت و بازار بزرگ قرار دارد. این مسجد در تقاطع خیابان امام و خیابان خاقانی قرار دارد و هم با خودروی شخصی و هم با مترو و حمل‌ونقل عمومی می‌توانید به این مسجد سر بزنید.
بخوانید از: رسوم و آئین های سنتی مردم تبریز",https://blog.shab.ir/wp-content/uploads/2022/06/22.jpg,images/image_9.jpg
گنبد کبود مراغه,"یکی از جاهای دیدنی آذربایجان شرقی، گنبد کبود مراغه است. این گنبد یکی از آثار ملی است که از زمان سلجوقیان باقی‌مانده است. البته بعضی از اسناد می‌گویند این گنبد مربوط به زمان حمله مغولان و در واقع آرامگاه مادر هلاکوخان است؛ اما این موضوع هیچ‌وقت تایید نشده است.
برای رسیدن به گنبد کبود مراغه کافیست خود را به مرکز شهر مراغه برسانید. مسیر ورودی این مجموعه از خیابان موسوی است.",https://blog.shab.ir/wp-content/uploads/2022/06/3-2.jpg,images/image_10.jpg
