title,text,image_url,image_file
رشت کجا برویم؟ | بهترین جاهای دیدنی رشت,لیست جاهای دیدنی رشت را می‌توان در دسته‌بندی‌های مختلف تعریف کرد. از آثار تاریخی رشت مانند میدان شهرداری و حال و هوای اروپایی‌اش تا خانه امیرکبیر و موزه‌هایی که تماشای آنها خالی از لطف نیست. بازارهای رشت هم که در نوع خود از مکان های دیدنی رشت هستند و نمی‌توان سفر به یک شهر شمالی را بدون خرید سوغاتی به اتمام رساند. اگر به این شهر سفر کردید، توصیه می‌شود یکی از هتل های رشت نزدیک به میدان شهرداری را رزرو کنید تا به بازار اصلی و اکثر جاهای دیدنی خود شهر رشت نزدیک باشید. در ادامه جاهای دیدنی رشت ایران را به شما معرفی خواهیم کرد.,,
جاهای دیدنی داخل شهر رشت,در شهر رشت تعداد زیادی جاذبه گردشگری وجود دارد که برای بازدید از همه آنها به چندین روز زمان نیاز است. در ادامه این جاذبه‌ها را به شما معرفی خواهیم کرد:,,
میدان شهرداری رشت | شروع رشت گردی با جاهای دیدنی رشت در شب,"میدان شهرداری رشت یک کاخ بلند با معماری روسی است که تمام خیابان‌های اطرافش سنگ فرش‌شده و هیچ اتومبیلی اجازه نزدیک‌شدن به آن را ندارد. قدم زدن در میدان شهرداری رشت حسی شبیه قدم‌زدن در خیابان‌های سن‌پترزبوگ بعد از جنگ جهانی اول را به شما می‌دهد.
تماشای اداره پست، تلگراف و کتاب خانه ملی رشت که همه به سبک معماری روس‌ها ساخته‌شده درست شبیه این است که به اروپای قدیمی سفر کرده‌اید. البته نورپردازی زیبای این بناها، جذابیت این میدان را بیشتر می‌کند. میدان شهرداری را می‌توان یکی از جاهای دیدنی رشت در شب دانست که دیدن آن ضروری است.
کاخ شهرداری رشت سال‌ها پیش و پس از شکست میرزا کوچک خان توسط قزاق‌ها ساخته شد. آنها از بالای این کاخ می‌توانستند بخش زیادی از رشت را زیر نظر داشته باشند. اما امروز مجسمه بزرگی از میرزا کوچک خان جنگلی سوار بر اسب درست کنار این میدان، زیبایی آن را بیشتر کرده است.
البته جاذبه‌‌های تاریخی میدان شهرداری تنها دلیلی نیست که آن را به یکی از جاهای دیدنی رشت تبدیل می‌کنند. این میدان پر از دست‌فروش‌هایی است که در بساط‌شان هر نوع خوراکی خوشمزه‌ای پیدا می‌شود. اما خیلی از رشتی‌ها میدان شهرداری را بخاطر کباب‌هایش دوست دارند. اگر شب را در رشت می‌مانید، می‌توانید به عنوان یکی از دیدنی های رشت در شب به این میدان بیایید. در این صورت باید حتما کبابی‌ های میدان شهرداری را امتحان کنید. سپس گشتی دور میدان بزنید و آماده خوردن بستنی و یخ در بهشت بشوید.
آدرس میدان شهرداری رشت روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2024/03/%D9%85%DB%8C%D8%AF%D8%A7%D9%86-%D8%B4%D9%87%D8%B1%D8%AF%D8%A7%D8%B1%DB%8C-%D8%B1%D8%B4%D8%AA.jpg,images/image_3.jpg
سبزه میدان رشت | فضای نوستالژیک رشت,"سبزه میدان هم از دیگر جاذبه های گردشگری رشت است که حسی شبیه سفر به گذشته دارد. مهم نیست که اطراف این میدان تا چه حد همه چیز مدرن، پرترافیک یا شلوغ است. وقتی به سبزه میدان برسید، با مردمی روبرو می‌شوید که در کمال آرامش مشغول دانه پاشیدن و غذا دادن به کبوترها هستند. در گوشه دیگری از میدان چند پیرمرد سالخورده مشغول بازی دومینو، شطرنج یا تخته‌نرد هستند.
درست انگار که هیاهوی دنیا مدرن هیچ‌وقت پایش را به این‌جا نگذاشته است. حس نوستالژیک سبزه میدان، آن را به یکی از جاهای دیدنی رشت تبدیل کرده است. البته نباید درخت‌های تنومند کهنسال و کبوترها را فراموش کنیم. اگر دنبال حس و هوای قدیمی هستید سبزه میدان رشت را در فهرست دیدنی های رشت قرار بدهید.
اما سبزه میدان رشت کجاست؟ برای اینکه به بوستان سبزه میدان برسید باید به غرب شهر رشت و میدان شهرداری بروید. این دو میدان در خیابان علم الهدی به هم متصل می‌شوند. البته سبزه میدان رشت از طریق خیابان‌های بیستون، استادسرا و لاکانی هم قابل‌دسترسی است.
آدرس سبزه میدان رشت روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2024/03/%D8%B3%D8%A8%D8%B2%D9%87-%D9%85%DB%8C%D8%AF%D8%A7%D9%86-%D8%B1%D8%B4%D8%AA.jpg,images/image_4.jpg
بازار رشت | رشت گردی با بوی سبزی تا ماهی تازه!,"بازار بزرگ رشت یعنی بوی سبزی، ماهی تازه و ترشی، در حالی که قطره‌های باران از طاق چکه می‌کند و می‌خورد وسط بساط میوه فروش‌ها! واقعیت این است که بازار رشت فقط یک بازار نیست، بلکه یکی از بهترین جاهای دیدنی رشت به شمار می‌رود.
به بازار ماهی فروشان رشت که قدم بگذارید، صدای ماهی‌فروشان که صید روزشان را با صدای بلند داد می‌زنند، با صدای میوه فروش‌ها و زن‌های محلی که بساطشان پر از تخم مرغ و ترشی و سبزی است در هم می‌پیچد و شما می‌دانید که یک خرید هیجان‌انگیز و خوشمزه انتظارتان را می‌کشد. البته بازار محلی رشت بازار کوچکی نیست؛ چه قصد خرید غذاهای محلی و محصولات کشاورزی را داشته باشید و چه لوازم خانگی، هرچیزی را می‌توانید در این بازار پیدا کنید.
یکی دیگر از جاذبه های گردشگری رشت که در بازار آن قرار دارد، کاروانسرا های آن هستند. کاروانسراهای بازار رشت معماری و قدمتشان به زمان قاجار برمی‌گردد. حتی اگر قصد خرید نداشته باشید، پیشنهاد می‌کنیم از این بازار دیدن کنید، البته مراقب باشید، چرا که بازار رشت مثل خیلی از بازارهای قدیمی سرپوشیده نیست و اگر باران ببارد به چتر نیاز خواهید داشت. بازار بزرگ رشت‌ در میدان شهرداری، خیابان امام خمینی قرار دارد. در سفر به رشت حتما از این جای دیدنی رشت دیدن کنید.
آدرس بازار رشت روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2024/03/%D8%A8%D8%A7%D8%B2%D8%A7%D8%B1-%D8%B1%D8%B4%D8%AA.jpg,images/image_5.jpg
محله ساغری سازان رشت | از بهترین پاتوق های رشت برای عکاسان,"اگر عاشق عکاسی یا ماجراجویی‌های هیجان انگیز در میان ساختمان‌های متروکه هستید، باید به محله ساغری‌ سازان رشت سر بزنید. این محله قدیمی یکی از بهترین پاتوق‌های رشت برای عکاسان است. جذابیت این محله بخاطر ساختمان‌های قدیمی و دست‌نخورده‌ای است که از سال‌ها پیش در این محله باقی‌مانده‌اند. در گزینه‌هایتان برای رشت گردی این محله را از قلم نیندازید.
حمام حاجی رشت با ورودی عجیبش، خانه سمیعی‌‌ها، مسجد گلدسته و کوچه‌هایی پر از خانه‌های قدیمی متروکه محله ساغری سازان را به یکی از دیدنی های رشت تبدیل کرده است. ساغریسازان رشت کجاست؟ محله ساغریسازان از گذر بادی الله در خیابان مطهری آغاز می شود تا میدان پل عراق ادامه دارد.
آدرس محله ساغریسازان رشت روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2024/03/%D9%85%D8%AD%D9%84%D9%87-%D8%B3%D8%A7%D8%BA%D8%B1%DB%8C-%D8%B3%D8%A7%D8%B2%D8%A7%D9%86-%D8%B1%D8%B4%D8%AA.jpg,images/image_6.jpg
باغ محتشم و عمارت کلاه فرنگی رشت | از جاهای دیدنی رشت در پاییز,"دوست دارید جاهای دیدنی طبیعی رشت را ببینید یا جاذبه های تاریخی؟ دلتان رودخانه می‌خواهد یا برکه یا جنگل؟ باغ محتشم تمام این‌ها را کنار هم دارد. این باغ یکی از جاهای دیدنی رشت در پاییز است، یعنی زمانی که برگ‌های زرد و نارنجی و قرمز زمین را پر می‌کنند و به این باغ نمایی رویایی می‌دهند.
اگر کمی در باغ محتشم رشت قدم بزنید، چشم‌تان به ساختمانی که وسط باغ جاخوش کرده می‌افتد. این ساختمان عمارت کلاه فرنگی رشت است و از زمان قاجار درون این باغ وجود دارد. اگر به دنبال جاهای دیدنی تاریخی رشت هستید، عمارت کلاه فرنگی را از دست ندهید.
بعد از تماشای این عمارت به سمت جنوب باغ حرکت کنید تا به رودخانه گوهر رود برسید. رودخانه‌ای خروشان  که با پیچ و تاب زیبایی از انتهای باغ عبور می‌کند و زیبای دو چندانی به محیط می‌دهد. اگر  کمی چشمانتان را تیزتر کنید و به جست‌وجو در باغ ادامه دهید یک برکه طبیعی زیبا می‌بینید که درختان قدیمی آن را احاطه کردند.
البته اگر همراه کودکان یا برای تفریح به باغ آمده‌اید می‌توانید از دیواره مصنوعی سنگ‌نوردی و زمین فوتبالی که در پارک وجود دارد هم استفاده کنید. باغ محتشم رشت در خیابان حافظ، کنار رودخانه گوهر رود قرار دارد. عمارت کلاه‌فرنگی و باغ محتشم از خاص ترین جاهای دیدنی شهر رشت است که در نزدیکی ایستگاه راه آهن قرار دارد. بنابراین اگر بلیط قطار رشت را رزرو کرده‌اید، می توانید بازدید از این جاذبه را برای روز آخر قبل از ساعت حرکتتان بگذارید.
آدرس باغ محتشم رشت روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2024/03/%D8%A8%D8%A7%D8%BA-%D9%85%D8%AD%D8%AA%D8%B4%D9%85-%D9%88-%D8%B9%D9%85%D8%A7%D8%B1%D8%AA-%DA%A9%D9%84%D8%A7%D9%87-%D9%81%D8%B1%D9%86%DA%AF%DB%8C-%D8%B1%D8%B4%D8%AA.jpg,images/image_7.jpg
پارک ملت رشت | جاهای دیدنی رشت در بهار,"اگر عاشق تماشای کلبه‌های روستایی آن هم وسط شهر هستید، سری به پارک ملت رشت بزنید. این پارک یکی از قدیمی ترین باغ های شهر رشت است که سال‌ها پیش با نام سیاه باغ شناخته می‌شد. برکه‌هایی پر از اردک، ساعت قطبی و درختان بلند، این باغ را از یک پارک معمولی به یکی از جاهای دیدنی رشت تبدیل کرده است. از سمتی با توجه به امکانات این پارک اگر به دنبال محلی برای چادر زدن در رشت هستید، پارک ملت رشت بهترین گزینه است. این پارک یکی از جاهای دیدنی رشت در شب به شمار می‌رود.
برای رفتن به پارک ملت رشت می‌توانید از دو مسیر بلوار شهید انصاری در قسمت شمالی شهر و خیابان امین الضرب که در شرق رشت قرار دارد، استفاده کنید. پارک ملت رشت در بلوار شهید انصاری، سه راه کانادا قرار دارد.
آدرس پارک ملت رشت روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2024/03/%D9%BE%D8%A7%D8%B1%DA%A9-%D9%85%D9%84%D8%AA-%D8%B1%D8%B4%D8%AA.jpg,images/image_8.jpg
آرامگاه میرزا کوچک خان | از سرداران معروف گیلک,"یک ساختمان بلند درست وسط یک گورستان ساکت چه حسی را در شما بیدار می‌کند؟ البته اگر کمی به ساختمان خیره شوید متوجه می‌شوید که از چوب، گل، سفال و کاشی ساخته شده است. شاید در ابتدا تعجب کنید و از دیدن تندیس مردی که جلوی این ساختمان ایستاده هیجان زده شوید. تا زمانی که متوجه شوید این تندیس میرزا کوچک خان جنگلی است.
آرامگاه میزرا کوچک خان از جاهای دیدنی تاریخی رشت است، اگر به بازدید از این جاذبه بروید و کمی حوصله داشته باشید حتما یکی از محلی‌ها برایتان داستان میرزا کوچک خان را تعریف می‌کند. داستان جالبی درباره این‌که چطور میرزا کوچک خان در مقابل قزاق‌ها ایستادگی کرد و سعی کرد ایران را نجات بدهد. چطور مجبور شد به کوه‌های خلخال فرار کند و چطور گرفتار برف شد و برایتان خواهد گفت که چگونه پیکر بی‌سر سردار جنگل و بعدها سرش را از کوهستان به این جا آوردند.
حتما می‌پرسید او تنها این کار کرد؟ چه بلایی سر بقیه مدافعان جنگل آمد؟ کافی است نگاهی به گورهای اطراف این ساختمان بیندازید. بله بیشتر مبارزان جنگل در گورستان سلیمان داراب و در کنار میرزا کوچک خان دفن شده‌اند. اگر به تاریخ ایران علاقه دارید، بازدید از مقبره میرزا کوچک خان جنگلی را در فهرست جاهای دیدنی رشت قرار دهید.
البته به جز میرزا کوچک خان جنگلی بزرگان دیگری مثل میرزا حسین خان کسمایی، ابراهیم فخرایی، شیون فومنی و نصرت رحمانی هم در این گورستان دفن شده‌اند. آرامگاه میرزا کوچک خان جنگلی کجاست؟ برای رفتن به آرامگاه میرزا کوچک خان باید به سمت جنوب شهر رشت حرکت کنید تا به یخسازی رشت برسید. سپس به میدان رازی بروید و به سمت خیابان شیون فومنی مسیر را ادامه دهید تا به شانزده متری سمیه برسید. قبرستان سلیمان داراب در این خیابان واقع‌شده است.
آدرس آرامگاه میزرا کوچک خان جنگلی روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2024/03/%D8%A2%D8%B1%D8%A7%D9%85%DA%AF%D8%A7%D9%87-%D9%85%DB%8C%D8%B1%D8%B2%D8%A7-%DA%A9%D9%88%DA%86%DA%A9-%D8%AE%D8%A7%D9%86.jpg,images/image_9.jpg
موزه مردم شناسی رشت | یکی از بهترین جاهای دیدنی شهر رشت,"اگر هیجان را دوست دارید از زیر زمین شروع کنید. دیدن اسکلت‌های کشف شده در تپه های مارلیک یا تالش و رودبار چقدر برایتان جذاب است؟ کافی است از پله‌های موزه مردم شناسی رشت به سمت سردآب و زیرزمین بروید. این قسمت پر از اشیای باستانی عجیبی است که در استان گیلان کشف شده است. ماجرا آن جا هیجان‌انگیزتر می‌شود که شما با یک گورستان باستانی و مجموعه‌ای از سنگ قبرها مواجه می‌شوید.
حالا می‌توانید به طبقه همکف بروید و مجسمه‌های ساخته شده از مردم گیلان را ببینید. دیدن لباس‌های محلی، ظرف‌های چوبی و دست‌سازهای قدیمی و رنگی گیلان پس از تجربه زیرزمین حس‌ و حال جالبی خواهد داشت.
جالب است بدانید که این سرزمین عجیب در حقیقت موزه نیست. بلکه خانه میرزا حسین خان کسمایی شاعر، روزنامه‌نگار و از دوستان نزدیک میرزا کوچک خان است که حالا به موزه تبدیل شده است. اگر به دنبال جاهای دیدنی تاریخی رشت هستید، موزه رشت را از قلم نیندازید. اگر در فصل سرد سال به رشت سفر می کنید این موزه می تواند یکی از جاهای دیدنی رشت در زمستان محسوب شود.
موزه گنجینه به عنوان یکی از جاذبه های رشت در نزدیکی سبزه میدان قرار دارد. برای رفتن به موزه مردم شناسی رشت کافی است از سبزه میدان رشت به سمت خیابان طالقانی یا همان خیابان بیستون بروید. این موزه روبروی بیمارستان دکتر فامیلی قرار دارد. البته روبروی این موزه ایستگاه اتوبوس نیز وجود دارد و شما می‌توانید از وسایل نقلیه استفاده کنید.
آدرس موزه باستان شناسی و مردم شناسی رشت روی نقشه گوگل
تصور یک مرداب آن هم نه در میان جنگل یا بین کوه‌ها بلکه درست در مرکز یک شهر باید غیرممکن باشد. اگر این موضوع برای شما هم عجیب است باید بازدید از تالاب عینک را در فهرست تفریحات رشت جای بدهید.
تالاب عینک درست شبیه به یک سفره شیشه‌ای در حاشیه غربی شهر رشت پهن شده و تصویر کوه‌های سبز گیلان را به شکل باورنکردنی روی آب منعکس می‌کند. مردابی که اگر روزهای خلوت به دیدنش بروید می توانید سایه ابرها را درونش تماشا کنید و از سکون آرامش‌بخش آب لذت ببرید. البته اگر یک قلاب ماهیگیری داشته باشید می‌توانید لذت بردن از این مرداب را دو چندان کنید. تالاب عینک یکی از نقاط مورد علاقه ماهیگیران شمال و البته از جاهای دیدنی رشت گیلان است.
جالب است بدانید که تالاب عینک از بارش باران و آب مازاد زمین‌های کشاورزی تشکیل شده و به رودخانه راهی ندارد. قسمت عجیب‌تر این که تالاب عینک با وجود اینکه در وسط شهر قرار دارد و احتمال تخریب و خشک شدن بیشتری دارد اما همچنان بزرگ ترین تالاب شهری ایران و دومین تالاب بزرگ ایران است. اگر  قصد بازدید از جاهای دیدنی طبیعی رشت را دارید، این مرداب را از دست ندهید. برای رفتن به تالاب عینک باید به سمت غرب شهر رشت بروید. این تالاب در نزدیکی پارک دانشجو در بلوار شهید افتخاری رشت قرار دارد.
آدرس تالاب عینک رشت روی نقشه گوگل",https://www.flytoday.ir/blog/wp-content/uploads/2024/03/%D9%85%D9%88%D8%B2%D9%87-%D9%85%D8%B1%D8%AF%D9%85-%D8%B4%D9%86%D8%A7%D8%B3%DB%8C-%D8%B1%D8%B4%D8%AA.jpg,images/image_10.jpg
