title,text,image_url,image_file
جاذبه های تاریخی کرمانشاه,قدمت کرمانشاه به هزاران سال پیش بازمی‌گردد، جایی که نخستین ساکنان فلات ایران از زندگی غارنشینی به روستا نشینی روی آوردند. در طول قرن‌ها، کرمانشاه شاهد حکومت‌های بزرگی همچون ساسانیان و سلجوقیان بوده و همواره به دلیل موقعیت استراتژیک در مرکز تحولات مهم تاریخی قرار داشت. اما آنچه این شهر را بیش از هر چیز متمایز می‌کند، جاذبه های تاریخی شهر کرمانشاه بوده که نفس تاریخ را در این شهر زنده نگه داشته‌اند. از کتیبه‌های باستانی بیستون و طاق‌بستان گرفته تا طبیعت بکر سراب نیلوفر، جاذبه های کرمانشاه برای هر سلیقه‌ای حرفی برای گفتن دارد. در ادامه با برخی از جاذبه های گردشگری کرمانشاه آشنا می‌شویم.,,
طاق بستان,"آدرس: استان کرمانشاه، شهر کرمانشاه، میدان پدر، خیابان طاق بستان
شماره تلفن: ۰۸۳۳۴۲۳۶۰۴۵
ساعت کاری: همه روزه از ۹ صبح تا ۱۷:۳۰ شب
قیمت بلیط: ۵ هزار تومان
طاق بستان یکی از بهترین جاهای دیدنی کرمانشاه بوده که قدمت آن به دوران ساسانی برمی‌گردد. این مجموعه شامل نقش برجسته‌های سنگی از جمله تاج‌گذاری خسرو پرویز، اردشیر دوم، شاپور دوم و سوم می‌شود. طاق بستان از دو طاق بزرگ و کوچک ساخته شده که هر کدام نمایانگر صحنه‌های تاریخی مختلفی از جمله شکار، حیوانات و نقش‌های مذهبی هستند. همچنین، در بخشی از این مجموعه، سنگ‌نگاره‌ای متعلق به دوران قاجار نیز وجود دارد. این اثر تاریخی که در حدود ۱۷۰۰ سال پیش تراشیده شده، از لحاظ هنری و تاریخی اهمیت بسیاری دارد.",https://www.eghamat24.com/blog/wp-content/uploads/2025/04/bostan-kermanshah.webp,images/image_2.webp
بیستون,"آدرس: استان کرمانشاه، شهرستان هرسین، شهر بیستون، دامنه کوه بیستون، محوطه تاریخی بیستون
شماره تلفن: ۰۸۳۴۵۸۸۳۸۱۴
ساعت کاری: همه روزه از ۹ صبح تا ۲۲ شب
قیمت بلیط: ۵ هزار تومان
برای خیلی از افراد دیدنی های کرمانشاه فقط در یک کلمه خلاصه می‌شود؛ بیستون. این کوه با پیشینه‌ای کهن در کنار یکی از مسیرهای پررفت‌وآمد باستانی یعنی جاده ابریشم قرار دارد. نام آن در ابتدا «بغستان» به معنای جایگاه خدایان بود. کتیبه مشهور بیستون که به دستور داریوش بزرگ حک شد، یکی از مهم‌ترین اسناد تاریخی جهان به شمار می‌رود. قرن‌ها این اثر ناشناخته ماند تا اینکه در سال ۱۸۳۵، هنری راولینسون با تلاش فراوان موفق به رمزگشایی آن شد. مجموعه بیستون کرمانشاه ، علاوه بر سنگ‌نوشته‌ها شامل غارها، سراب و طبیعتی چشم‌نواز می‌شود. افسانه عشق فرهاد و شیرین نیز زیبایی و رمز و راز این مکان را دوچندان می‌کند.",https://www.eghamat24.com/blog/wp-content/uploads/2025/04/biston-mountain-kermanshah.webp,images/image_3.webp
موزه پوشاک و زیورآلات,"آدرس: ایران، کرمانشاه، خیابان حداد عادل، تکیه معاون الملک
شماره تلفن: ۰۸۳۳۷۲۱۴۷۵۷
ساعت کاری: از ۹ صبح تا ۱۹ عصر
قیمت بلیط: ۵ هزار تومان
موزه پوشاک و زیورآلات یکی از موزه های کرمانشاه در تکیه تاریخی و معروف معاون‌الملک واقع شده که جلوه‌ای از فرهنگ و هویت مردم این منطقه را بیان می‌کند. این موزه در تالاری ۲۰۰ متری و ۸ غرفه، پوشش سنتی مردان و زنان کرمانشاه را نمایش می‌دهد. لباس‌های مردانه در تن مجسمه‌های موزه پوشاک شامل پیراهن سفید، شلوار گشاد سنبادی و گیوه شده و زنان نیز سربندهای پرنقش و پیراهن‌های مخملی یا زری دارند. بسیاری از این پوشش‌ها امروزه تنها در این موزه یا روستاهای دورافتاده دیده می‌شوند.",https://www.eghamat24.com/blog/wp-content/uploads/2025/04/clothes-museum-kermanshah.webp,images/image_4.webp
موزه مردم شناسی کرمانشاه,"آدرس: کرمانشاه، خیابان شریعتی،خیابان حداد عادل و در بخش عمارت عباسیه تکیه معاون الملک
شماره تلفن: ۰۸۳۳۷۲۱۴۷۵۷
ساعت کاری: همه روزه از ساعت ۸ صبح تا ۱۵ بعدازظهر
قیمت بلیط: ۵ هزار تومان
موزه مردم شناسی هم مانند موزه پوشاک در ضلع جنوبی تکیه تاریخی معاون الملک واقع شده و مجموعه‌ای غنی از فرهنگ و تاریخ مردم کرمانشاه را به نمایش می‌گذارد. این موزه با ۲۹ ویترین، آثار مختلفی مانند ادوات کشاورزی، آلات موسیقی، ابزارهای صنایع نساجی و پوشاک، لوازم کتابت، روشنایی و لباس‌های محلی را در معرض دید بازدیدکنندگان قرار می‌دهد. اگر به موزه مردم شناسی رفتید، می‌توانید با زندگی روزمره مردم این دیار و آداب و رسوم قومیت‌های مختلف مانند کرد، لر، لک، ترک و فارس آشنا شوید.",https://www.eghamat24.com/blog/wp-content/uploads/2025/04/people-museum-kermanshah.webp,images/image_5.webp
خانه خواجه باروخ یا خانه هنرمندان کرمانشاه,"آدرس: شهر کرمانشاه، محله جلیلی، خیابان زارعی
شماره تلفن: اطلاعاتی موجود نیست.
ساعت کاری: اطلاعاتی موجود نیست.
قیمت بلیط: اطلاعاتی موجود نیست.
خانه خواجه باروخ یا خانه رنده‌کش و خانه کاکه باروخ به زبان کردی به دهه آخر دوران سلطنت ناصرالدین‌شاه در دوره قاجار تعلق دارد. صاحب این خانه تاریخی یک تاجر کلیمی بوده که این مکان را به سبک دوران قاجار و معماری درونگرا ساخت. خانه خواجه باروخ از طریق هشتی و دالان به حیاط‌های بیرونی و اندرونی متصل می‌شود. در ضلع شمالی حیاط، حوضخانه‌ای قرار دارد که نور را از هر دو حیاط دریافت می‌کند. در ضلع غربی، ایوانی با چهار ستون مدور و دو نیم ستون به همراه تزیینات معقلی و مقرنس کاری وجود دارد. این خانه دارای حمام گنبدی بوده که در زمان خود نادر بود.",https://www.eghamat24.com/blog/wp-content/uploads/2025/04/barokh-home-kermanshah.webp,images/image_6.webp
موزه پارینه سنگی زاگرس,"آدرس: کرمانشاه،جلیلی، خیابان جلیلی، خیابان زارعی، خیابان بیگلری، تکیه بیگلر بیگی
شماره تلفن: ۰۸۳۳۸۳۸۰۰۴۵
ساعت کاری: همه روزه از ساعت ۸ صبح تا ۱۹ بعدازظهر
قیمت بلیط: اطلاعاتی موجود نیست.
مورد بعدی برای جاهای دیدنی شهر کرمانشاه، موزه پارینه سنگی نام دارد. این موزه در سال ۱۳۸۶ به همت فریدون بیگلری و علیرضا مرادی بیستونی تأسیس شد و هدف آن بررسی دوران پیش از تاریخ در منطقه زاگرس بود. موزه در چهار بخش شامل ابزار آلات سنگی، فسیل‌ها و استخوان‌ها، آثار دوره دیرینه سنگی و ابزار نوسنگی فعالیت می‌کند. بخش اول شامل شبیه‌سازی‌های دقیق از انسان نئاندرتال شده که در خاورمیانه منحصر به فرد است. بخش دوم فسیل‌های انسان و حیوانات از منطقه زاگرس و اروپا را نمایش می‌دهد. در بخش سوم، قدیمی‌ترین آثار یک میلیون ساله از کشف‌رود و گیلان و در بخش چهارم ابزار نوسنگی به نمایش گذاشته شده‌اند.",https://www.eghamat24.com/blog/wp-content/uploads/2025/04/parinesangi-museum-kermanshah.webp,images/image_7.webp
خانه معین الکتاب,"آدرس: کرمانشاه، سعدی، خیابان جمهوری اسلامی، خیابان فراز
شماره تلفن: اطلاعاتی موجود نیست.
ساعت کاری: اطلاعاتی موجود نیست.
قیمت بلیط: اطلاعاتی موجود نیست.
خانه معین‌الکتاب، متعلق به میرزا حسن خان مدنی معروف به دبیراعظم یکی از آزادی‌خواهان مشروطه در محله علاف خانه کرمانشاه قرار دارد. معماری این خانه از نوع درون‌گرا بوده که با عبور از هشتی به حیاط بیرونی و سپس از طریق راهرویی به حیاط اندرونی آن می‌رسید. حیاط اندرونی به مساحت ۱۵۴ متر مربع فضای مسکونی در سه طرف دارد. میهمان‌خانه بزرگ در ضلع شمالی با طاق‌نماهای زیبا و بدون اتاق در ضلع جنوبی از ویژگی‌های این بناست. خانه معین‌الکتاب در تاریخ ۱۰ خرداد ۱۳۸۲ با شماره ثبت ۹۱۴۵ به‌عنوان اثر ملی ایران ثبت شده و به تاریخ انقلاب مشروطه در کرمانشاه گره می‌خورد.",https://www.eghamat24.com/blog/wp-content/uploads/2025/04/moeen-ketab-home-kermanshah.webp,images/image_8.webp
موزه خط و کتابت,"آدرس: کرمانشاه، خیابان مدرس، روبه‌روی مسجد جامع، تکیه بیگلربیگی
شماره تلفن: اطلاعاتی موجود نیست.
ساعت کاری: همه روزه از ساعت ۹ صبح تا ۱۹ شب
قیمت بلیط:اطلاعاتی موجود نیست.
موزه خط و کتابت از موزه‌های مهم کشور و یکی از جاهای دیدنی کرمانشاه بوده که تحت مدیریت میراث فرهنگی، صنایع دستی و گردشگری این استان قرار دارد. یکی از ویژگی‌های مهم این موزه، همجواری آن با موزه پارینه‌سنگی زاگرس بوده که هر دو از مهم‌ترین و ارزشمندترین موزه‌های استان کرمانشاه به شمار می‌روند و آثار فراوانی از فرهنگ و تاریخ منطقه را در خود جای داده‌اند. در موزه خط و کتابت کرمانشاه مجموعه‌ای از اسناد، مدارک و نسخه‌های خطی تاریخی به نمایش گذاشته شده که بسیاری از آن‌ها به زبان‌های پیچیده قدیمی نوشته شده‌اند.",https://www.eghamat24.com/blog/wp-content/uploads/2025/04/book-museum-kermanshah.webp,images/image_9.webp
معبد آناهیتا,"آدرس: ایران، استان کرمانشاه، کنگاور، بلوار انقلاب، خیابان شهدا
شماره تلفن: ۰۸۳۴۸۲۳۲۸۳۵
ساعت کاری: همه روزه از ساعت ۹ صبح تا ۱۹ شب
قیمت بلیط: ۵ هزار تومان
معبد آناهیتا بزرگترین سازه سنگی یکپارچه ایران در لیست جاهای دیدنی کرمانشاه قرار دارد که در سال ۱۳۱۰ در فهرست ملی آثار تاریخی ثبت شد. این معبد به الهه آناهیتا، ایزدبانوی آب و باران، نسبت داده می‌شود. ساخت معبد آناهیتا به دوره هخامنشیان بر می‌گردد و در دوره‌های اشکانیان و ساسانیان تکمیل شد. معماری معبد بر توجه به آب و الهه آب متمرکز بوده، به‌طوری‌که دالان‌ها آب را به استخر مربعی در وسط معبد هدایت می‌کنند. ستون‌های عظیم معبد به سبک مادها ساخته شده و نشانه‌هایی از آتش‌سوزی در سنگ‌ها وجود دارد که مراسم مذهبی را نشان می‌دهد. این بنا بر سه سطح از زمین ساخته شده و دیوارهای گچ و سنگ، پلکان‌های دوطرفه و صفه‌های سنگی دارد.",https://www.eghamat24.com/blog/wp-content/uploads/2025/04/anahita-Temple-kermanshah.webp,images/image_10.webp
