title,text,image_url,image_file
مکان های تاریخی کرمان,با رفتن به جاهای دیدنی و تاریخی کرمان می‌توانید با فرهنگ، معماری و سبک زندگی مردم در زمان گذشته آشنا شوید. اگر تا امروز به این شهر نرفته‌اید، پیشنهاد می‌کنیم از معروف ترین جاهای دیدنی کرمان بازدید کنید که قدمتی طولانی و ارزشمند دارند. در ادامه با بهتری جاهای تاریخی کرمان آشنا می‌شوید.,,
گنبد جبلیه,"اگر به شرق کرمان و دامنه‌های کوه‌های صاحب‌الزمان بروید، گنبد جبلیه را مثل نگینی در دل صحرا می‌بینید. ارتفاع این گنبد هشت‌ضلعی ۱۸ متر بوده و در گذشته، گچ‌بری‌ها و تزیینات باشکوهی داشته است. امروزه محوطه گنبد جبلیه به موزه سنگ تبدیل شده و تنها یکی از هشت در اصلی آن باز است. در داخل ساختمان این گنبد، سنگ قبرها و کتیبه‌های ارزشمندی از دوره‌های سلجوقی و حتی قرن پنجم نیز وجود دارند. جالب است که بدانید مصالح این بنا شامل ترکیبی از سنگ، خاکستر، تخم‌مرغ و شیر شتر می‌شود.
آدرس: کرمان، خیابان شهدا، گنبد جبلیه
ساعت کاری: هر روز به جز روزهای تعطیل از ۹ صبح تا ۱۸
قیمت بلیط: 10 هزار تومان
لوکیشن گنبد جبلیه روی نقشه",https://www.eghamat24.com/blog/wp-content/uploads/2025/12/gonbad-jebeliye-kerman.webp,images/image_2.webp
مجموعه گنجعلی خان,"حیف است اسم جاهای دیدنی کرمان بیاید و از مجموعه گنجعلی‌خان نام نبریم. این مجموعه یکی از مهم‌ترین آثار تاریخی این شهر محسوب می‌شود و به دستور گنجعلی‌خان، حاکم مشهور زمان شاه عباس صفوی ساخته شد. مساحت مجموعه گنجعلی خان حدود ۱۱ هزار متر مربع بوده و شامل بازار، مسجد، مدرسه و کاروان‌سرا می‌شود. میدان مرکزی این مجموعه، شباهت زیادی به میدان نقش جهان در اصفهان و میدان امیرچخماق در یزد دارد و در گذشته محلی برای گردهمایی مردم و مرکز فعالیت‌های اجتماعی بوده است.
آدرس: کرمان، میدان شهدا، بین خیابان اصلی امام و خیابان شریعتی، ابتدای بازار کرمان، میدان گنجعلی‌خان
شماره تلفن: 03432225577
ساعت کاری: هر روز به جز روزهای تعطیل از ۹ صبح تا ۱۹
قیمت بلیط: 15 هزار تومان
لوکیشن مجموعه گنجعلی خان روی نقشه",https://www.eghamat24.com/blog/wp-content/uploads/2025/12/ganjalikhan-kerman.webp,images/image_3.webp
ضرابخانه گنجعلی خان,"گنجعلی‌خان، حاکم کرمان، در دوره صفویه برای آباد شدن شهر، آثار زیادی ساخت که برخی از آن‌ها هنوز پابرجا هستند. ضرابخانه گنجعلی‌خان یکی از این آثار است و به‌ عنوان بخشی از مجموعه گنجعلی‌خان، جزو مهم‌ترین جاهای دیدنی در خود کرمان محسوب می‌شود. در زمان صفویه، این ضرابخانه محل ضرب سکه بود و سال‌ها برای همین موضوع کاربرد داشت. امروزه، این بنا به موزه سکه تبدیل شده و یکی از معتبرترین موزه‌های سکه در ایران به شمار می‌رود.
آدرس: کرمان، مرکز قدیمی کرمان، کنار بازار بزرگ کرمان، مجموعه گنجعلی خان کرمان
شماره تلفن: 03432266183
ساعت کاری: هر روز از ۹ صبح تا ۱۸
قیمت بلیط: 40 هزار تومان
لوکیشن ضرابخانه گنجعلی خان روی نقشه",https://www.eghamat24.com/blog/wp-content/uploads/2025/12/zarabkhane-musuem.webp,images/image_4.webp
حمام گنجعلی خان,"حمام گنجعلی خان یکی دیگر از بناهای معروف در مجموعه گنجعلی خان است که آوازه شهرتش به آن طرف مرزهای ایران هم رسیده است. این حمام شامل بخش‌هایی مانند سرسرا، دالان، رخت‌کن، هشتی و گرم‌خانه می‌شود و در حال حاضر به موزه مردم‌شناسی کرمان تبدیل شده است.
آدرس: کرمان، بازار، خیابان امام خمینی، خیابان بازار گنجعلی خان
شماره تلفن: 03432225577
ساعت کاری: شنبه تا چهارشنبه از ۹ صبح تا ۱۶:۳۰ و پنج شنبه و جمعه از ۹ صبح تا ۱۷:۳۰
قیمت بلیط: 15 هزار تومان
لوکیشن حمام گنجعلی خان روی نقشه",https://www.eghamat24.com/blog/wp-content/uploads/2025/12/ganjalikhan-bathroom.webp,images/image_5.webp
میدان گنجعلی خان کرمان,"میدان گنجعلی‌ خان یکی از نمونه‌های معروف میدان‌های بسته در معماری ایرانی به حساب می‌آید؛ فضایی که بناهای مختلف در چهار طرف آن قرار گرفته‌اند. دور‌تادور این میدان را فضاهای عمومی مانند حمام، آب‌انبار، مسجد، مدرسه، ضرابخانه و راسته‌های بازار فراگرفته که برای فعالیت‌های مذهبی، اقتصادی، اجتماعی و آیینی کاربرد داشته‌اند. این میدان که یکی از مکان های معروف کرمان در بافت قدیمی شهر است، در زمان‌های مختلف به عنوان مرکز اقتصادی، محل تجمع عمومی و حتی پایگاه حکومتی فعال بوده است.
آدرس: کرمان، بازار، خیابان امام خمینی، میدان گنجعلی خان
لوکیشن میدان گنجعلی خان روی نقشه",https://www.eghamat24.com/blog/wp-content/uploads/2025/12/squre-ganjalikhan.webp,images/image_6.webp
آب انبار گنجعلی خان (آب‌ انبار علیمردان خان),"اهالی کرمان در گذشته به فکر راهکارهایی خلاقانه برای تامین آب و ادامه زندگی بودند، به‌ همین دلیل، آب‌انبارهای زیادی را برای ذخیره آب ساختند. برخی از این آب‌انبارها با تزیینات و معماری جالبی ساخته شدند که آب‌ انبار گنجعلی خان یا علیمردان‌خان، یکی از همین موارد است. این آب‌انبار در مجموعه گنجعلی‌خان بوده و به خاطر سازنده آن یعنی علیمردان‌خان فرزند گنجعلی‌خان به نام آب انبار علیمردان‌خان هم شهرت دارد.
آدرس: کرمان، بازار، خیابان امام خمینی، خیابان بازار گنجعلی‌خان
شماره تلفن: 03432225577
ساعت کاری: هر روز از ۹ صبح تا ۲۰:۳۰
لوکیشن آب انبار گنجعلی خان روی نقشه",https://www.eghamat24.com/blog/wp-content/uploads/2025/12/ab-anbar-alimardankhan.webp,images/image_7.webp
حمام وکیل کرمان,"در بین نام جاهای دیدنی کرمان، حمام وکیل مورد بعدی در لیست ماست. این حمام یکی از نمونه‌های معروف حمام‌های سنتی ایران بوده که ردپای معماری دوره‌های زندیه و قاجار در تمام بخش‌های آن دیده می‌شود. عملیات بازسازی این حمام در سال ۱۳۶۹ با الهام از معماری قاجاری انجام گرفت و راه مستقیم آن به بازار کرمان حفظ شد. ساختمان حمام وکیل شامل ورودی، سربینه، گرم‌خانه و خزینه بود، اما امروزه به‌ عنوان چایخانه سنتی پذیرای بازدیدکنندگان است.
آدرس: کرمان، خیابان طالقانی شیراز، میانه‌های بازار کرمان، بعد از حمام گنجعلی خان
شماره تلفن: 03432254493
ساعت کاری: هر روز از ۹ صبح تا ۲۰
لوکیشن حمام وکیل کرمان روی نقشه",https://www.eghamat24.com/blog/wp-content/uploads/2025/12/vakil-bathroom-kerman.webp,images/image_8.webp
موزه هنرهای معاصر صنعتی کرمان,"یکی دیگر از جاهای خوب کرمان برای علاقه‌مندان به تاریخ، موزه هنرهای معاصر صنعتی کرمان است که مجموعه‌ای از آثار هنرمندان ایرانی و خارجی در آن قرار دارد. بسیاری از کارشناسان، این موزه را پس از موزه هنرهای معاصر تهران، مهم‌ترین گنجینه هنر معاصر کشور می‌دانند. این مجموعه در ساختمانی قرار دارد که محل زندگی استاد علی‌اکبر صنعتی (پدر مجسمه‌سازی ایران) بوده است. بیش از ۱۲۰۰ اثر هنری در سبک‌هایی مانند هنر انتزاعی، پاپ آرت و مینیمالیسم در موزه هنرهای معاصر کرمان نگهداری می‌شود و کتابخانه‌ تخصصی در آن وجود دارد.
آدرس: کرمان، خیابان شریعتی، حدفاصل میدان باغ ملی و چهارراه طهماسب‌آباد
شماره تلفن: 03432228882
ساعت کاری: یکشنبه تا چهارشنبه: ۸ صبح تا ۱۲:۳۰ و ۱۶:۳۰ تا ۱۸ و پنج‌شنبه: ۸ صبح تا ۱۶
لوکیشن موزه هنرهای معاصر صنعتی کرمان روی نقشه",https://www.eghamat24.com/blog/wp-content/uploads/2025/12/sanati-musuem-kerman.webp,images/image_9.webp
قلعه اردشیر,"قلعه اردشیر یک مکان تاریخی کرمان بوده که از دوران ساسانیان باقی مانده است. این قلعه روی تپه‌ای بلند و به دستور اردشیر بابکان (پادشاه ساسانی) ساخته شد. بررسی بخش‌های مختلف قلعه اردشیر نشان می‌دهد که بعضی از قسمت‌های آن به جز جنبه نظامی، برای جشن و تشریفات کاربرد داشته است. جالب است بدانید که اسم قلعه اردشیر که به «قلعه کوه» نیز شهرت دارد، در شاهنامه فردوسی آمده است. این قلعه در سال ۱۳۴۵ شمسی در فهرست آثار ملی ایران ثبت شد و امروزه یکی از جاهای دیدنی و گردشگری استان کرمان به شمار می‌آید.
آدرس: کرمان، بلوار شهدای پیرانشهر، پیرانشهر ۹، قائم
لوکیشن قلعه اردشیر روی نقشه",https://www.eghamat24.com/blog/wp-content/uploads/2025/12/ardeshir-castle-kerman-1.webp,images/image_10.webp
